result_type,capture_time_utc,capture_date_utc,historical_or_current,property_id,property_name,website,target_unit_id,target_unit_key,july31_rp_date,july31_surgex_date,july31_surgex_provenance,portal_selection_reason,selected_portal_url,selected_portal_status,selected_parser_inventory_units,current_unit_present,current_unit_match_count,current_parser_unit_number,current_raw_source_date,current_raw_date_origin,current_visible_source_date,current_apply_move_in_date,current_normalized_date,current_normalized_provenance,current_source_date_present,current_future_presence,current_explicit_future_recovered,current_vs_rp_comparison,current_minus_rp_days,current_within_one_day_of_rp,failure
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,16373,The Villages At Montpelier,https://www.morgan-properties.com/apartments/md/laurel/villages-at-montpelier/,652-2A,652-2A,2026-08-11,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://villagesofmontpelierapartments.securecafe.com/onlineleasing/villages-at-montpelier-apartment-homes/availableunits.aspx,200,44,true,1,652-2A,8/12/2026,apply_move_in_fallback,,8/12/2026,2026-08-12,explicit_future,true,true,true,current_plus_one_day,1,true,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,16373,The Villages At Montpelier,https://www.morgan-properties.com/apartments/md/laurel/villages-at-montpelier/,682-3A,682-3A,2026-09-03,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://villagesofmontpelierapartments.securecafe.com/onlineleasing/villages-at-montpelier-apartment-homes/availableunits.aspx,200,44,true,1,682-3A,9/4/2026,apply_move_in_fallback,,9/4/2026,2026-09-04,explicit_future,true,true,true,current_plus_one_day,1,true,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,16373,The Villages At Montpelier,https://www.morgan-properties.com/apartments/md/laurel/villages-at-montpelier/,690-3D,690-3D,2026-08-06,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://villagesofmontpelierapartments.securecafe.com/onlineleasing/villages-at-montpelier-apartment-homes/availableunits.aspx,200,44,true,1,690-3D,8/8/2026,apply_move_in_fallback,,8/8/2026,2026-08-08,explicit_future,true,true,true,current_other_future,2,false,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,16373,The Villages At Montpelier,https://www.morgan-properties.com/apartments/md/laurel/villages-at-montpelier/,690-4D,690-4D,2026-08-17,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://villagesofmontpelierapartments.securecafe.com/onlineleasing/villages-at-montpelier-apartment-homes/availableunits.aspx,200,44,true,1,690-4D,8/18/2026,apply_move_in_fallback,,8/18/2026,2026-08-18,explicit_future,true,true,true,current_plus_one_day,1,true,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,16373,The Villages At Montpelier,https://www.morgan-properties.com/apartments/md/laurel/villages-at-montpelier/,694-2C,694-2C,2026-08-21,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://villagesofmontpelierapartments.securecafe.com/onlineleasing/villages-at-montpelier-apartment-homes/availableunits.aspx,200,44,true,1,694-2C,8/22/2026,apply_move_in_fallback,,8/22/2026,2026-08-22,explicit_future,true,true,true,current_plus_one_day,1,true,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,16373,The Villages At Montpelier,https://www.morgan-properties.com/apartments/md/laurel/villages-at-montpelier/,702-1C,702-1C,2026-08-05,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://villagesofmontpelierapartments.securecafe.com/onlineleasing/villages-at-montpelier-apartment-homes/availableunits.aspx,200,44,true,1,702-1C,8/8/2026,apply_move_in_fallback,,8/8/2026,2026-08-08,explicit_future,true,true,true,current_other_future,3,false,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,16373,The Villages At Montpelier,https://www.morgan-properties.com/apartments/md/laurel/villages-at-montpelier/,706-2A,706-2A,2026-08-24,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://villagesofmontpelierapartments.securecafe.com/onlineleasing/villages-at-montpelier-apartment-homes/availableunits.aspx,200,44,true,1,706-2A,8/25/2026,apply_move_in_fallback,,8/25/2026,2026-08-25,explicit_future,true,true,true,current_plus_one_day,1,true,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,16373,The Villages At Montpelier,https://www.morgan-properties.com/apartments/md/laurel/villages-at-montpelier/,708-3B,708-3B,2026-08-03,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://villagesofmontpelierapartments.securecafe.com/onlineleasing/villages-at-montpelier-apartment-homes/availableunits.aspx,200,44,true,1,708-3B,8/4/2026,apply_move_in_fallback,,8/4/2026,2026-08-04,explicit_future,true,true,true,current_plus_one_day,1,true,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,16373,The Villages At Montpelier,https://www.morgan-properties.com/apartments/md/laurel/villages-at-montpelier/,732-2D,732-2D,2026-08-02,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://villagesofmontpelierapartments.securecafe.com/onlineleasing/villages-at-montpelier-apartment-homes/availableunits.aspx,200,44,true,1,732-2D,8/3/2026,apply_move_in_fallback,,8/3/2026,2026-08-03,explicit_future,true,true,true,current_plus_one_day,1,true,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,16373,The Villages At Montpelier,https://www.morgan-properties.com/apartments/md/laurel/villages-at-montpelier/,738-3D,738-3D,2026-09-14,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://villagesofmontpelierapartments.securecafe.com/onlineleasing/villages-at-montpelier-apartment-homes/availableunits.aspx,200,44,true,1,738-3D,8/6/2026,apply_move_in_fallback,,8/6/2026,2026-08-06,explicit_future,true,true,true,current_other_future,-39,false,
