stratum,population_count,sample_count,population_share,sample_share
DEAD_URL,50,10,0.01003613,0.01000000
FAILED_NO_DATA,224,45,0.04496186,0.04500000
FAILED_UNREACHABLE,94,19,0.01886792,0.01900000
SUCCESS,4238,851,0.85066238,0.85100000
SUCCESS_NO_DATA_PUBLISHED,19,4,0.00381373,0.00400000
SUCCESS_PLAN_LEVEL,357,71,0.07165797,0.07100000
