Source,Destination,Start,End,Md5,Source Size,Bytes Transferred,Result,Description
gs://jugnu-canary/profiles/strict-v2-fa1afb7/260117.json,gs://jugnu-canary/profiles/strat1000-ff7b377/260117.json,2026-08-02T23:21:06.405336Z,2026-08-02T23:21:06.405415Z,M6NynkXgD7rp9kFqv4xqvg==,3037,3037,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/260340.json,gs://jugnu-canary/profiles/strat1000-ff7b377/260340.json,2026-08-02T23:21:06.460561Z,2026-08-02T23:21:06.460631Z,qp6Dn99x9SD684aSYNEBLQ==,3201,3201,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/260872.json,gs://jugnu-canary/profiles/strat1000-ff7b377/260872.json,2026-08-02T23:21:06.539849Z,2026-08-02T23:21:06.539929Z,wpjFEnbirFKbc5IpZDOQRg==,3033,3033,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/261349.json,gs://jugnu-canary/profiles/strat1000-ff7b377/261349.json,2026-08-02T23:21:06.629813Z,2026-08-02T23:21:06.630009Z,S2sCM8sKZ8zQu0UTB/NcVg==,3804,3804,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/26151.json,gs://jugnu-canary/profiles/strat1000-ff7b377/26151.json,2026-08-02T23:21:06.684589Z,2026-08-02T23:21:06.684678Z,VZnw/zKVsqKDZoDNo+z7vw==,3744,3744,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/261530.json,gs://jugnu-canary/profiles/strat1000-ff7b377/261530.json,2026-08-02T23:21:06.749108Z,2026-08-02T23:21:06.749212Z,l8+UWmf9op062vOQkMV2zg==,3042,3042,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/261648.json,gs://jugnu-canary/profiles/strat1000-ff7b377/261648.json,2026-08-02T23:21:06.806022Z,2026-08-02T23:21:06.806098Z,4ZVoq4QMRt+SAA9PA8HNTw==,3009,3009,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/261739.json,gs://jugnu-canary/profiles/strat1000-ff7b377/261739.json,2026-08-02T23:21:06.858556Z,2026-08-02T23:21:06.858654Z,0NXUpCvnitrWqm6a+za6wQ==,3050,3050,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/26194.json,gs://jugnu-canary/profiles/strat1000-ff7b377/26194.json,2026-08-02T23:21:06.921981Z,2026-08-02T23:21:06.922080Z,UcdUcOaQmMZlm9F5D1m+pQ==,3021,3021,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/262518.json,gs://jugnu-canary/profiles/strat1000-ff7b377/262518.json,2026-08-02T23:21:07.001989Z,2026-08-02T23:21:07.002075Z,UY3AFWHLeTT7lmJPiyTYZg==,3013,3013,OK,
