result_type,capture_timestamp_utc,capture_date,family,adapter_variant,property_id,property_name,configured_address,website,historical_exact_tier_member,july_output_rows,july_scrape_date_rows,july_blank_date_rows,probe_status,access_path,identity_match,identity_reason,contamination_check,evidence_urls,native_rows,native_future_rows,native_available_now_rows,native_explicit_capture_date_rows,native_historical_date_rows,native_sentinel_date_rows,native_no_date_rows,future_preserved_rows,available_now_normalized_rows,scrape_date_default_rows,current_replay_matched_rows,current_replay_capture_date_rows,current_capture_defaults_from_source_no_date_rows,pipeline_outcomes_json,loss_classifications_json,source_detail,error,classification,classification_reason,proven_defect,scrape_date_only_output_alone_is_defect,defect_gate
local_current_live_scrape_date_only_tier_audit_not_canary,2026-08-01T09:06:23Z,2026-08-01,OneSite / OneSite Workflow,ONESITE_API,269984,Flats at Market Street,4903 Market St,https://www.flatsatmarketstreet.com/,True,7,7,0,PROBED_DATA,curl_cffi_current_live_public_widget_api,True,structured_name_and_address_match,pass_exact_identity_no_conflicting_source,https://www.flatsatmarketstreet.com/;https://api.ws.realpage.com/v2/property/9206852/PropertyDetails;https://api.ws.realpage.com/v2/property/9206852/units?available=true&honordisplayorder=true,9,0,0,0,9,0,0,0,0,0,0,0,0,"{""NATIVE_ROW_DROPPED"": 9}","{""adapter_row_selection_loss"": 9}",marketing_property_id=9206852;details_http=200;units_http=200;units_response_shape=response.units,,ambiguous,"native sample has only historical, sentinel, unavailable, or same-day dates",False,False,not proven by scrape-date-only output alone
local_current_live_scrape_date_only_tier_audit_not_canary,2026-08-01T10:06:13Z,2026-08-01,OneSite / OneSite Workflow,ONESITE_WORKFLOW,12398,Courtney Park,4470 S Lemay Ave,https://www.courtneyparkapthomes.com/,False,,,,PROBED_DATA,curl_cffi_current_live_workflow_and_visible_marketing,True,configured_name_and_address_visible_on_property_page,pass_exact_configured_name_and_address,https://www.courtneyparkapthomes.com/;https://9174995.onlineleasing.realpage.com/;https://leasing.realpage.com/RP.Leasing.AppService.WebHost/workflowstartup/v1/5451885/English?BpmId=OLL.WorkflowStartUp&BpmSequence=0&LogSequence=3&ClientSessionID=3600d89e-1c21-4818-8459-deaf0177c969,3,0,0,0,0,0,3,0,0,3,3,3,3,"{""SOURCE_NO_DATE_NORMALIZED_TO_CAPTURE_DATE"": 3}","{""source_no_date_capture_date_default"": 3}",site_id=5451885;workflow_floorplans=7;workflowstartup publishes UnitIds but no availability-date field,,no_native_date,native inventory exists but publishes no usable availability-date field,False,False,not proven by scrape-date-only output alone
local_current_live_scrape_date_only_tier_audit_not_canary,2026-08-01T09:06:23Z,2026-08-01,OneSite / OneSite Workflow,ONESITE_WORKFLOW,15704,East Perimeter Pointe,4946 Snapfinger Woods Dr,http://www.eastperimeterpointe.com/east-perimeter-pointe-decater-ga/home,True,23,23,0,PROBED_DATA,curl_cffi_current_live_workflow_and_visible_marketing,True,configured_name_and_address_visible_on_property_page,pass_exact_identity_no_conflicting_source,https://www.eastperimeterpointe.com/east-perimeter-pointe-decater-ga;https://1940273.onlineleasing.realpage.com/;https://leasing.realpage.com/RP.Leasing.AppService.WebHost/workflowstartup/v1/3649780/English?BpmId=OLL.WorkflowStartUp&BpmSequence=0&LogSequence=3&ClientSessionID=bbf9ccd5-38cf-4735-9927-a022874a2135,23,0,0,0,0,0,23,0,0,23,23,23,23,"{""SOURCE_NO_DATE_NORMALIZED_TO_CAPTURE_DATE"": 23}","{""source_no_date_capture_date_default"": 23}",site_id=3649780;workflow_floorplans=7;workflowstartup publishes UnitIds but no availability-date field,,no_native_date,native inventory exists but publishes no usable availability-date field,False,False,not proven by scrape-date-only output alone
local_current_live_scrape_date_only_tier_audit_not_canary,2026-08-01T09:06:23Z,2026-08-01,OneSite / OneSite Workflow,ONESITE_WORKFLOW,283561,946 MLK,946 Dr Martin Luther King Jr St,https://www.946mlk.com/,True,1,1,0,PROBED_DATA,curl_cffi_current_live_workflow_and_visible_marketing,True,configured_name_and_address_visible_on_property_page,pass_exact_identity_no_conflicting_source,https://www.946mlk.com/;https://8129324.onlineleasing.realpage.com/;https://leasing.realpage.com/RP.Leasing.AppService.WebHost/workflowstartup/v1/4615836/English?BpmId=OLL.WorkflowStartUp&BpmSequence=0&LogSequence=3&ClientSessionID=47d061f3-7833-4ab8-b2a7-fdb9ed0aadf2;https://www.946mlk.com/floorplans/;https://www.946mlk.com/wp-admin/admin-ajax.php,3,2,1,0,0,0,0,0,0,0,0,0,0,"{""NATIVE_FUTURE_ON_UNWIRED_ROUTE"": 2, ""NATIVE_SOURCE_ROUTE_NOT_WIRED"": 1}","{""adapter_route_selection_gap"": 1, ""adapter_route_selection_loss"": 2}",site_id=4615836;workflow_floorplans=3;Primary: current property marketing availability table. Supplemental: workflowstartup currently publishes no date fields.,,native_future_lost/defaulted_to_scrape_date,2 of 2 native future-date row(s) lost or rewritten by the current route/parser/formatter,True,False,native future date exists and current replay fails preservation
local_current_live_scrape_date_only_tier_audit_not_canary,2026-08-01T09:06:23Z,2026-08-01,RealPage OLL API,REALPAGE_OLL,2114,Townes at University,336 Blackhawk Rd,https://www.townesuniversity.com/,True,4,4,0,PROBED_DATA,curl_cffi_current_live_public_widget_api,True,structured_name_and_address_match,pass_exact_identity_no_conflicting_source,https://www.townesuniversity.com/;https://api.ws.realpage.com/v2/property/8175735/PropertyDetails;https://api.ws.realpage.com/v2/property/8175735/units?available=true&honordisplayorder=true,17,2,0,0,15,0,0,0,0,0,0,0,0,"{""NATIVE_FUTURE_DROPPED_WITH_RESPONSE_ENVELOPE"": 2, ""NATIVE_ROW_DROPPED"": 15}","{""adapter_response_shape_loss"": 2, ""adapter_row_selection_loss"": 15}",marketing_property_id=8175735;details_http=200;units_http=200;units_response_shape=response.units,,native_future_lost/defaulted_to_scrape_date,2 of 2 native future-date row(s) lost or rewritten by the current route/parser/formatter,True,False,native future date exists and current replay fails preservation
local_current_live_scrape_date_only_tier_audit_not_canary,2026-08-01T09:06:23Z,2026-08-01,RealPage OLL API,REALPAGE_OLL,72054,Cedar Glen,603 N Chippewa Ave,http://www.rentcedarglen.com/,True,14,14,0,PROBED_NO_CURRENT_INVENTORY,curl_cffi_current_live_public_widget_api,True,structured_name_and_address_match,pass_exact_identity_no_conflicting_source,https://www.rentcedarglen.com/;https://api.ws.realpage.com/v2/property/221587/PropertyDetails;https://api.ws.realpage.com/v2/property/221587/units?available=true&honordisplayorder=true,0,0,0,0,0,0,0,0,0,0,0,0,0,{},{},marketing_property_id=221587;details_http=200;units_http=200;units_response_shape=NoneType,,no_inventory,current exact native source returned no inventory,False,False,not proven by scrape-date-only output alone
local_current_live_scrape_date_only_tier_audit_not_canary,2026-08-01T09:06:23Z,2026-08-01,RealPage OLL API,REALPAGE_OLL,263081,Culebra Commons,7106 Culebra Commons,https://www.liveculebra.com/,True,12,12,0,PROBED_DATA,curl_cffi_current_live_public_widget_api,True,structured_name_and_address_match,pass_exact_identity_no_conflicting_source,https://www.liveculebra.com/;https://api.ws.realpage.com/v2/property/8420144/PropertyDetails;https://api.ws.realpage.com/v2/property/8420144/units?available=true&honordisplayorder=true,29,5,0,1,23,0,0,0,0,0,0,0,0,"{""NATIVE_FUTURE_DROPPED_WITH_RESPONSE_ENVELOPE"": 5, ""NATIVE_ROW_DROPPED"": 24}","{""adapter_response_shape_loss"": 5, ""adapter_row_selection_loss"": 24}",marketing_property_id=8420144;details_http=200;units_http=200;units_response_shape=response.units,,native_future_lost/defaulted_to_scrape_date,5 of 5 native future-date row(s) lost or rewritten by the current route/parser/formatter,True,False,native future date exists and current replay fails preservation
local_current_live_scrape_date_only_tier_audit_not_canary,2026-08-01T09:06:23Z,2026-08-01,RealPage OLL API,REALPAGE_OLL,263789,Plum Tree,4200 S Washington St,https://www.plumtreeapt.com/,True,14,14,0,PROBED_DATA,curl_cffi_current_live_public_widget_api,True,structured_name_and_address_match,pass_exact_identity_no_conflicting_source,https://www.plumtreeapt.com/;https://api.ws.realpage.com/v2/property/8648527/PropertyDetails;https://api.ws.realpage.com/v2/property/8648527/units?available=true&honordisplayorder=true,19,13,0,1,5,0,0,0,0,0,0,0,0,"{""NATIVE_FUTURE_DROPPED_WITH_RESPONSE_ENVELOPE"": 13, ""NATIVE_ROW_DROPPED"": 6}","{""adapter_response_shape_loss"": 13, ""adapter_row_selection_loss"": 6}",marketing_property_id=8648527;details_http=200;units_http=200;units_response_shape=response.units,,native_future_lost/defaulted_to_scrape_date,13 of 13 native future-date row(s) lost or rewritten by the current route/parser/formatter,True,False,native future date exists and current replay fails preservation
local_current_live_scrape_date_only_tier_audit_not_canary,2026-08-01T10:06:13Z,2026-08-01,Squarespace,SQUARESPACE_SHELL_APPFOLIO,19955,Brookside,4611 SE Brookside Dr,https://www.brooksidejohnsoncreek.com/,False,,,,PROBED_DATA,direct_current_page_and_scoped_appfolio_ssr,True,operator_published_property_group_plus_name_and_address_family_match,pass_server_scoped_property_group_and_address_family,https://www.brooksidejohnsoncreek.com/listings;https://illumepm.appfolio.com/listings?filters%5Bproperty_list%5D=brookside,3,2,1,0,0,0,0,2,1,0,3,1,0,"{""AVAILABLE_NOW_PRESERVED_END_TO_END"": 1, ""EXPLICIT_FUTURE_PRESERVED_END_TO_END"": 2}","{""none"": 3}",property_group=brookside;tenant=illumepm;current_adapter_tier=TIER_1_DOM_APPFOLIO_SSR;current_adapter_rows=3;unit_identity_hits=3;contamination_conflicts=0,,native_future_preserved,all 2 native future-date row(s) preserved by current replay,False,False,not proven by scrape-date-only output alone
local_current_live_scrape_date_only_tier_audit_not_canary,2026-08-01T10:06:13Z,2026-08-01,Squarespace,SQUARESPACE_SHELL_APPFOLIO,49171,Melrose Gates,6401 Camden Ave N,https://www.melrosegates.com/,False,,,,PROBED_DATA,direct_current_page_and_scoped_appfolio_ssr,True,operator_published_property_group_plus_name_and_address_family_match,pass_server_scoped_property_group_and_address_family,https://www.melrosegates.com/availability;https://sasapartments.appfolio.com/listings?filters%5Bproperty_list%5D=Melrose,10,8,2,0,0,0,0,8,2,0,10,2,0,"{""AVAILABLE_NOW_PRESERVED_END_TO_END"": 2, ""EXPLICIT_FUTURE_PRESERVED_END_TO_END"": 8}","{""none"": 10}",property_group=Melrose;tenant=sasapartments;current_adapter_tier=TIER_1_DOM_APPFOLIO_SSR;current_adapter_rows=10;unit_identity_hits=10;contamination_conflicts=0,,native_future_preserved,all 8 native future-date row(s) preserved by current replay,False,False,not proven by scrape-date-only output alone
local_current_live_scrape_date_only_tier_audit_not_canary,2026-08-01T09:06:23Z,2026-08-01,Squarespace,SQUARESPACE_UNIT_BLOCK,241432,Cricket Flats,65 Cricket Ave,http://cricketflats.com/,True,8,8,0,PROBED_DATA,curl_cffi_current_live_visible_squarespace_dom,True,configured_name_and_address_visible_on_property_page,pass_exact_identity_no_conflicting_source,https://cricketflats.com/;https://cricketflats.com/availability,8,3,2,3,0,0,0,0,2,8,8,8,0,"{""ADAPTER_FUTURE_DROPPED_BY_FORMATTER"": 3, ""AVAILABLE_NOW_DATE_PRESERVED_BUT_SOURCE_TOKEN_DROPPED"": 2, ""EXPLICIT_CAPTURE_DATE_PRESERVED"": 3}","{""adapter_available_now_provenance_loss"": 2, ""formatter_date_loss_or_change"": 3, ""none"": 3}",Current visible per-unit blocks on /availability.,,native_future_lost/defaulted_to_scrape_date,3 of 3 native future-date row(s) lost or rewritten by the current route/parser/formatter,True,False,native future date exists and current replay fails preservation
