pid,property_name,city,state,website,top_guess_conventional,top_guess_floor_plans,top_guess_models,top_guess_rentcafe_spa,top_guess_other
219752,Lamphouse,Waunakee,WI,https://lamphouseapts.com/,https://lamphouseapts.com/waunakee/lamphouse/conventional/,https://lamphouseapts.com/floor-plans/,https://lamphouseapts.com/models,https://lamphouseapts.com/apartments/wi/waunakee/floor-plans#/,https://lamphouseapts.com/Floor-plans.aspx
219528,Portrait at Hance Park I,Phoenix,AZ,https://portraitathancepark.com/,https://portraitathancepark.com/phoenix/portrait-at-hance-park-i/conventional/,https://portraitathancepark.com/floor-plans/,https://portraitathancepark.com/models,https://portraitathancepark.com/apartments/az/phoenix/floor-plans#/,https://portraitathancepark.com/Floor-plans.aspx
218893,Volta at Voyager I,Colorado Springs,CO,https://voltaatvoyager.securecafe.com/onlineleasing/volta-at-voyager-colorado-springs/oleapplication.aspx?stepname=floorplan&myOlePropertyId=2273239,https://voltaatvoyager.securecafe.com/colorado-springs/volta-at-voyager-i/conventional/,https://voltaatvoyager.securecafe.com/floor-plans/,https://voltaatvoyager.securecafe.com/models,https://voltaatvoyager.securecafe.com/apartments/co/colorado-springs/floor-plans#/,https://voltaatvoyager.securecafe.com/Floor-plans.aspx
219773,The Lofts at OPOP,St. Louis,MO,https://www.theloftsatopop.com/,https://www.theloftsatopop.com/st-louis/the-lofts-at-opop/conventional/,https://www.theloftsatopop.com/floor-plans/,https://www.theloftsatopop.com/models,https://www.theloftsatopop.com/apartments/mo/st-louis/floor-plans#/,https://www.theloftsatopop.com/Floor-plans.aspx
2198,Lincoln Green,Philadelphia,PA,www.lincolngreenapartments.com,https://www.lincolngreenapartments.com/philadelphia/lincoln-green/conventional/,https://www.lincolngreenapartments.com/floor-plans/,https://www.lincolngreenapartments.com/models,https://www.lincolngreenapartments.com/apartments/pa/philadelphia/floor-plans#/,https://www.lincolngreenapartments.com/Floor-plans.aspx
220088,Ashbrooke,Ankeny,IA,http://www.ashbrookeapts.com/,http://www.ashbrookeapts.com/ankeny/ashbrooke/conventional/,http://www.ashbrookeapts.com/floor-plans/,http://www.ashbrookeapts.com/models,http://www.ashbrookeapts.com/apartments/ia/ankeny/floor-plans#/,http://www.ashbrookeapts.com/Floor-plans.aspx
218956,Coronado Villas,Tucson,AZ,https://coronadovillas.tokolaproperties.com/,https://coronadovillas.tokolaproperties.com/tucson/coronado-villas/conventional/,https://coronadovillas.tokolaproperties.com/floor-plans/,https://coronadovillas.tokolaproperties.com/models,https://coronadovillas.tokolaproperties.com/apartments/az/tucson/floor-plans#/,https://coronadovillas.tokolaproperties.com/Floor-plans.aspx
21996,Marsh Creek Village,Woodhaven,MI,https://www.marshcreekresidential.com/home.aspx,https://www.marshcreekresidential.com/woodhaven/marsh-creek-village/conventional/,https://www.marshcreekresidential.com/floor-plans/,https://www.marshcreekresidential.com/models,https://www.marshcreekresidential.com/apartments/mi/woodhaven/floor-plans#/,https://www.marshcreekresidential.com/Floor-plans.aspx
220109,Melrose Station Apartments,Elkins Park,PA,https://www.fmgnj.com/apartments/pa/elkins-park/melrose-station/floor-plans,https://www.fmgnj.com/elkins-park/melrose-station-apartments/conventional/,https://www.fmgnj.com/floor-plans/,https://www.fmgnj.com/models,https://www.fmgnj.com/apartments/pa/elkins-park/floor-plans#/,https://www.fmgnj.com/Floor-plans.aspx
219446,The Cantata,Washington,DC,https://www.livecantata.com/,https://www.livecantata.com/washington/the-cantata/conventional/,https://www.livecantata.com/floor-plans/,https://www.livecantata.com/models,https://www.livecantata.com/apartments/dc/washington/floor-plans#/,https://www.livecantata.com/Floor-plans.aspx
