apartment_id	property_name	provider	projection_verdict	winning_tier	floor_plan_count	positive_available_units	publish_ceiling	conventional_links	seed_plan_links	seed_vus_links	prior_hb_audited	opportunity_class	website
73923	The Vineyards Apartments	generic_plan_text	SUCCESS_PLAN_LEVEL	TIER_1_API	5	0	CONFIRMED_NO_DATA	0	0	0	false	confirmed_no_data	http://www.vineyardsapt.com/
74067	The Huntington	unknown	SUCCESS_PLAN_LEVEL	TIER_1_API	4	0	UNCERTAIN	0	0	0	false	uncertain_residual	https://sites.google.com/site/huntingtonapartments
74528	Grand Oaks	generic_plan_text	SUCCESS_PLAN_LEVEL	TIER_1_DOM_GENERIC_PLAN_TEXT_PLAN_LEVEL	3	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	https://grandoaks-apartments.com/
74711	Countryside Village Apartments	entrata	SUCCESS_PLAN_LEVEL	TIER_1_API_ENTRATA_NO_RESPONSE	1	1	NEEDS_RENDER	1	0	0	true	entrata_hb_audited_no_win	www.reeseroadtn.com
75076	Greystone at Creekwood	rentcafe	SUCCESS_PLAN_LEVEL	TIER_3_DOM_GENERIC	7	0	UNCERTAIN	0	0	0	false	rentcafe_residual_after_direct_sweep	https://www.greystonecreekwood.com/
75936	Keystone	entrata	SUCCESS	TIER_1_API	0	0	<none>	0	0	0	false	known_false_positive_do_not_count	https://www.livekeystone.com/
76849	St Phillip Villas	entrata	SUCCESS_PLAN_LEVEL	TIER_1_DOM_ENTRATA_PP_SSR_PLAN_LEVEL	7	0	NEEDS_RENDER	1	7	0	true	entrata_hb_audited_no_win	https://www.liveatstphillipvillas.com/
77558	Arrivé Seattle	encoreskyline_template	SUCCESS_PLAN_LEVEL	TIER_3_DOM_GENERIC	2	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	http://arriveseattle.com/
77725	Red Oak Ranch	unknown	SUCCESS_PLAN_LEVEL	TIER_1_API	2	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	https://www.redoakranch.net/pricing.html
77782	Atlantico at Miramar	rentmanager	SUCCESS_PLAN_LEVEL	TIER_1_API	10	0	EXTRACTION_MISS	0	0	0	false	rentmanager_residual_after_endpoint_sweep	http://www.atlanticomiramarfl.com/miramar-fl-apartments.asp
