apartmentid,floorplannumber,description,bed,bath,area
43,1,no w/d connections,0,1,400
43,2,1BD/1BR-1,1,1,540
43,3,1BD/1BR-1,1,1,650
43,4,2BD/1BR-2,2,1,800
43,5,2BD/2BR-2,2,2,920
43,6,2BD/2BR-2,2,2,1000
49,1,Washington,1,1,460
49,2,Lee,1,1,580
49,3,Jefferson Townhome,2,2,1050
49,4,Gadsby Townhome,2,2.5,1180
86,1,1x1,1,1,650
86,2,2x1,2,1,900
86,3,House,3,1,1000
98,1,#1,1,1,687
98,2,#3,2,1,863
98,3,#2,1,1,713
98,4,#4,1,1,889
98,5,2x1,2,1,889
107,1,1BD/1BR-1,1,1,569
107,2,1BD/1BR-1,1,1,697
107,3,2BD/2BR-2,2,2,960
107,4,TH,2,2,1082
136,1,Pine,1,1,625
136,2,Maple,1,1,702
136,3,Birch,2,1,900
136,4,Cedar,2,1.5,1052
136,5,Oak,3,1.5,1200
136,6,Ash,3,2,1351
147,2,One Bedroom One Bath,1,1,576
147,4,Studio,0,1,288
147,5,Two Bedroom Two Bath,2,2,864
147,6,Three Bedroom Two Bath,3,2,864
147,7,Two Bedroom One Bath,2,1,864
161,1,Studio S,0,1,288
161,2,One Bed One Bath G,1,1,576
161,3,Two Bed One Bath,2,1,864
161,4,One Bed One Bath S,1,1,576
266,1,The Bristol,0,1,288
266,2,The Hampton,1,1,576
266,3,The Hadley,2,2,864
266,4,The Sterling,2,1,864
342,1,0BD/1BR-E The Cove,0,1,400
342,2,1BD/1BR-1 The Burrow,1,1,650
342,3,2BD/2BR-2 The Lodge,2,2,944
342,4,2BD/1BR-2 The Nest,2,1,800
386,1,Studio,0,1,288
386,2,One Bedroom One Bath,1,1,576
386,3,Two Bedroom Two Bath with Master Bedroom,2,2,864
386,4,One Bedroom One Bath,1,1,576
386,5,Two Bedroom One Bath,2,1,864
446,1,Studio,0,1,288
446,2,Utility Room with W/D connections,1,1,567
446,3,1BD/1BR-1,1,1,564
446,4,2BD/1BR-2,2,1,864
446,5,3BD/2BR-3,3,2,1152
486,1,EFF,0,1,288
486,2,A1,1,1,576
486,3,B1,2,1,858
486,4,A1-R,1,1,576
501,1,Studio Apartment,0,1,288
501,2,One Bedroom One Bath Apartment,1,1,576
501,3,Two Bedroom One Bath Apartment,2,1,864
501,4,Two Bedroom Two Bath with Master Bedroom Apartment,2,2,864
540,1,The Bristol,0,1,288
540,2,The Hampton,1,1,576
540,3,The Sterling,2,1,864
540,4,The Hadley,2,2,864
567,1,One Bed One Bath,1,1,576
567,2,Two Bed One Bath,2,1,864
567,3,Two Bed Two Bath with Master Bedroom,2,2,864
584,1,0BD/1BR-E,0,1,288
584,2,1BD/1BR-1,1,1,576
584,3,2BD/2BR-2,2,2,864
584,4,2BD/1BR-2,2,1,864
594,1,Studio,0,1,288
594,2,One Bed One Bath,1,1,576
594,6,Two Bed Two Bath,2,2,864
594,7,Two Bed One Bath,2,1,864
595,4,1BD/1BR-1,1,1,576
595,5,0BD/1BR-E,0,1,288
595,6,2BD/1BR-2,2,1,864
595,7,2BD/2BR-2,2,2,864
676,1,1BD/1BR-1,1,1,672
676,2,1BD/1BR-1,1,1,855
676,6,2BD/1BR-2,2,1,865
676,7,2BD/1BR-2,2,1,870
676,8,2BD/2BR-2,2,2,1019
676,9,2BD/2BR-2,2,2,1054
676,10,3BD/2BR-3,3,2,1176
677,1,The Bradford,1,1,544
677,2,The Maple,1,1,716
677,3,The Cypress/den,2,1,882
677,4,The Laurel,2,2,808
677,5,The Magnolia,2,2,977
681,1,A1,1,1,584
681,2,A2,1,1,720
681,3,A3,1,1,737
681,4,B1,2,1,1022
681,5,B2,2,2,1073
681,6,B3,2,2,1087
681,7,C1,3,2,1181
720,1,1BR 1BA,1,1,914
720,2,2BD/1BR-2,2,1,953
720,3,2BR 2BA,2,2,1108
720,4,3BR 2BA,3,2,1322
720,5,2BR 1BA,2,1,940
720,6,1BR 1BA,1,1,858
722,2,Rosewood,2,2,1000
722,6,Baywood,1,1,700
722,7,Bayberry,1,1,700
738,1,Plan 1,2,2,953
738,2,Plan 2,3,2,1144
743,1,Northampton,1,1,909
743,2,Boulevard,1,1,978
743,3,Pembroke,2,1.5,1155
743,4,Chesapeake,2,1.5,1224
743,5,Bayside,3,2,1323
743,6,Virginia,3,2,1392
788,2,Alsace,2,1.5,900
788,3,Chateau,2,2.5,1050
788,4,Riviera,3,1.5,1130
788,5,Bordeaux,3,2.5,1280
788,6,Provence,4,2.5,1580
788,7,Villes,1,1,600
788,8,Chambre,1,1,580
794,1,1BD/1BR-1,1,1,900
794,2,2BD/1BR-2,2,1,950
794,3,2BD/2BR-2,2,2,1100
794,4,2BD/2BR-2,2,2,1300
794,5,3BD/2BR-3,3,2,1260
794,6,3BD/2BR-3,3,2,1560
794,7,3BD/2BR-3,3,2,1630
796,1,pearl & schooner,1,1,750
796,2,seafarer,2,1,950
796,3,jetty,2,1,1000
909,1,Acoma,0,1,350
909,2,Broadway,1,1,550
909,3,Cherokee,1,1,470
909,4,Lincoln,2,1,821
909,5,B2,2,1.5,821
961,22,A1,1,1,561
961,23,A2,1,1,600
961,24,A3,1,1,735
961,25,B1,2,1,748
961,26,B2,2,1.5,775
961,27,B4,2,1.5,836
961,28,B6,2,1.5,960
961,29,B4-BW,2,1.5,968
961,30,B6-TH,2,1.5,973
961,31,B7,2,1.5,1032
961,32,E1-TH,3,2,1011
961,33,C1,3,2,1312
994,6,0BD/1BR-E,0,1,600
994,7,1BD/1BR-1,1,1,720
994,8,2BD/1BR-2,2,1,860
994,9,3BD/1BR-3,3,1,1000
994,10,4.0BD/2.0BA,4,2,1160
1060,1,Aviator,1,1,644
1060,2,Bolton,2,1,855
1074,1,Pine,1,1,705
1074,2,Elm,1,1,694
1074,3,Birch,1,1.5,733
1074,4,Maple,1,1,975
1074,5,Oak,2,2,1195
1074,6,Willow,2,1.5,1395
1074,7,Aspen,2,1.5,1282
1074,8,Buckeye,2,1.5,1649
1074,9,EM2b1.5-Diamond,2,1.5,1425
1084,1,Autumn,1,1,600
1084,2,Emerald,2,1,810
1084,3,Maple,2,1.5,960
1084,4,Magnolia,3,2.5,1280
1084,5,Mulberry,3,2.5,1280
1084,6,Willow,2,1.5,960
1085,1,A1,1,1,740
1085,2,2A,2,2,1050
1085,3,2B,2,2.5,1250
1085,4,3A,3,2,1350
1112,5,Premium Townhouse,2,1,620
1112,6,3BD/2BR-3,3,2,1238
1113,1,1BD/1BR-1,1,1,640
1113,3,2BD/1BR-2,2,1,720
1146,1,Point Isabel,1,1,520
1146,2,Saint Augustine,1,1,690
1146,3,Grand Haven,1,1,720
1146,4,Ponce Inlet,2,1,925
1146,5,Ponce De Leon,2,1,975
1146,6,Mystic Seaport,2,2,1015
1146,7,Breakwater,2,2,1065
1146,8,Jupiter,2,2,1150
1146,9,Daybeacon,2,2,1200
1146,10,Eddystone,3,2,1270
1146,11,Diamondhead,3,2,1320
1146,12,San Marco,1,1,737
1152,1,Hummingbird,1,1,793
1152,2,Osprey,1,1,938
1152,3,Dragon Fly,1,1,1005
1152,4,Sycamore,2,2,1266
1152,5,Cypress,2,2,1371
1152,6,Florida,2,2,1136
1152,7,Sabal,2,2.5,1293
1152,8,Royal,2,2.5,1517
1152,9,Willow,2,2,1266
1154,4,A1,1,1,706
1154,5,A2,1,1,736
1154,6,B2,2,1,977
1154,9,B1,2,1,947
1154,10,A3,1,1,977
1154,11,B3,2,2,977
1154,12,B4,2,2,1007
1156,1,0BD/1BR-E,0,1,450
1156,2,1BD/1BR-1,1,1,687
1156,3,2BD/1BR-2,2,1,850
1156,4,2BD/2BR-2,2,2,1025
1163,4,682-708sqft,1,1,682
1163,6,886-912sqft,2,1,886
1163,10,970-996sqft,2,2,970
1165,1,1BD/1BR-1,1,1,775
1165,2,2BD/1BR-2,2,1,900
1165,3,2BD/2BR-2,2,2,1025
1179,1,Whispering,1,1,900
1179,2,Brookside,2,1,963
1179,3,Grande Oak,2,2,1000
1258,1,A1,1,1,730
1258,2,B2,2,1.5,1175
1258,3,B1,2,1.5,1100
1258,4,C1,3,2.5,1408
1258,5,B3,2,1.5,1250
1259,4,1BD/1BR-1,1,1,800
1259,5,2BD/2BR-2,2,2,975
1259,6,3BD/2BR-3,3,2,1250
1259,7,2.0BD/1.5BA,2,1.5,1100
1259,8,3.0BD/2.5BA,3,2.5,1400
1310,24,A1,1,1,568
1310,25,A2,1,1,575
1310,26,A3,1,1,768
1310,27,A4,1,1,775
1310,28,B1,2,2,1097
1310,29,B2,2,2,1120
1310,30,B3,2,1,1275
1310,31,C1,3,2,1342
1310,32,A5,1,1,500
1310,33,C2,3,2,3100
1312,9,Flat,1,1,670
1312,10,TH,1,1,732
1312,11,Flat,2,2,916
1312,12,TH,2,2,1032
1332,1,A1,1,1,642
1332,2,A2,1,1,686
1332,3,B1,2,1.5,990
1332,4,B2,2,2,1083
1332,5,B3,2,2,1212
1332,6,B4-TH,2,1.5,1296
1332,7,C1,3,2,1296
1332,8,C2,3,2,1307
1337,1,1x1,1,1,700
1337,2,2x2,2,2,980
1337,3,2x1 Loft with Den,2,1,1500
1337,4,1x1 Reno,1,1,700
1337,5,2x2 Reno,2,2,980
1340,3,1BD/1BR-1,1,1,850
1340,4,2BD/2BR-2,2,2,1300
1349,1,The Willow,1,1,675
1349,4,The,2,1,835
1349,5,The Mahogany,2,2,920
1352,1,The Elm,1,1,750
1352,2,The River Birch,2,1,1050
1352,3,The Pecan,2,2,1050
1375,6,a1,1,1,587
1375,7,a2,1,1,707
1375,8,b1,2,2,983
1375,9,c1,2,2.5,1283
1375,10,b2,2,2,1040
1465,1,The Bellows,1,1,640
1465,2,The Locomotive,2,1.5,1200
1465,3,The Rail,3,2.5,1340
1465,4,The Conductor,3,2,1221
1465,5,The Boiler,2,2,1069
1465,6,The Junction,2,2,974
1465,7,The Axle,1,1,709
1465,8,The Cabin,1,1,683
1465,9,The Station,1,1,680
1494,7,Arabian,1,1,675
1494,8,Paso Fino,2,1,835
1494,9,Clysdale,2,2,920
1509,3,1BD/1BR-1,1,1,570
1509,4,1BD/1BR-1,1,1,710
1509,5,2BD/2BR-2,2,2,990
1527,8,Mimosa,1,1,785
1527,9,Juniper,2,1,1050
1527,10,Maple,2,2,1400
1527,11,Magnolia,2,1.5,1394
1527,12,Dogwood,3,2,1583
1527,13,Chestnut,3,2.5,1650
1575,1,Aster,0,1,425
1575,2,Columbine,1,1,625
1575,3,Larkspur,2,2,825
1589,1,A,1,1,800
1589,2,B,2,1,925
1589,3,C,3,2,1240
1617,7,A1,1,1,752
1617,8,B1,2,1,943
1617,9,B2,2,2,1017
1617,10,B3,2,2,1031
1632,1,A,1,1,829
1632,2,B,1,1,880
1632,3,C,1,1,981
1632,4,D,2,2,1170
1632,6,E,2,2,1241
1632,8,D1,2,2,1192
1632,9,F,2,2,1207
1632,10,G,3,2,1685
1713,6,0BD/1BR-E,0,1,600
1713,7,1BD/1BR-1,1,1,700
1713,8,1BD/1BR-1,1,1,715
1713,9,2BD/1BR-2,2,1,985
1713,10,2BD/2BR-2,2,2,1070
1713,11,2BD/1BR-2,2,1,890
1713,12,,1,1,770
1721,1,The Yost,0,1,496
1721,2,The Rivard,1,1,690
1721,3,The Fordcroft,2,2,916
1721,4,The Packard,2,1,940
1740,1,"1.1, Conn in all",1,1,880
1740,2,2.1,2,1,1050
1740,3,2.2,2,2,1093
1748,5,0BD/1BR-E,0,1,441
1748,6,1BD/1BR-1,1,1,640
1748,7,Spruce,2,1.5,900
1748,8,Central 418- 508sqft,0,1,418
1748,9,0BD/1BR-E,0,1,430
1748,10,Riverside  418-470sqft,0,1,470
1748,11,Glen  540-688sqft,1,1,540
1748,12,1BD/1BR-1,1,1,560
1748,13,1BD/1BR-1,1,1,565
1748,14,1BD/1BR-1,1,1,625
1748,16,1BD/1BR-1,1,1,682
1748,17,1BD/1BR-1,1,1,688
1752,1,Brent,1,1,592
1752,2,Sutton,1,1,831
1752,3,Camden,2,2,1099
1752,4,Westminster,3,2,1313
1752,5,Chelsea,2,1,1010
1759,1,1 Bedroom Affordable,1,1,682
1759,2,2 Bedroom 1 bath  Affordable,2,1,900
1759,3,3 Bedroom 2 Bath Affordable,3,2,1112
1759,7,4 Bedroom 2 Bath Classic,4,2,1377
1759,8,1 Bedroom Classic,1,1,682
1759,9,2 Bedroom 1 Bath  Classic,2,1,900
1759,10,3 Bedroom 2 Bath Classic,3,2,1112
1759,11,1 Bedroom Reno,1,1,682
1759,12,2 Bedroom 1 Bath Reno,2,1,900
1759,13,3 Bedroom 2 Bath Reno,3,2,1112
1759,14,4 Bedroom 2 Bath Reno,4,2,1377
1759,15,1 Bedroom Deluxe,1,1,682
1759,16,2 Bedroom Deluxe,2,1,900
1759,17,3 Bedroom 2 Bath Deluxe,3,2,1112
1759,18,4 Bedroom 2 Bath Deluxe,4,2,1377
1765,2,2BD/2BR-2,2,2,1051
1765,3,2BD/2.5BR-2,2,2.5,1268
1765,4,Windsor,2,2,1290
1767,1,A1,1,1,525
1767,8,A2,1,1,712
1767,9,B1,2,1,840
1767,10,B2,2,2,1005
1767,11,C1 - Townhome,3,3.5,1450
1767,12,C2 - Townhome,3,2.5,1295
1773,3,B1 Two Bed Garden Classic,2,2,1121
1773,4,B2 Town Home Classic,2,2.5,1131
1773,5,1x1 Flat Classic,1,1,879
1773,6,1x1.5 Loft Classic,1,1.5,773
1773,7,B3 Roommate Classic,2,2,1264
1773,9,1x1.5 Loft Elite,1,1.5,773
1773,11,1x1 Flat Elite,1,1,879
1773,12,B1 Two Bed Garden Signature,2,2,1121
1773,13,B1 Two Bed Garden Elite,2,2,1121
1773,14,B3 Roommate Elite,2,2,1264
1773,15,B2 Town Home Elite,2,2.5,1131
1773,16,B2 Town Home Signature,2,2.5,1131
1777,1,Sedona,1,1,675
1777,2,Bordeaux,1,1,750
1777,3,Concorde,2,1,850
1777,4,Chateau,2,2,900
1783,6,The Ansley,1,1,889
1783,7,Hamden,2,2,1169
1783,8,Ashton,2,2,1142
1783,9,Laurel TH,2,2.5,1385
1783,10,Waverly,3,2,1495
1785,1,Birch,1,1,750
1785,2,Hickory,2,1,830
1785,3,Aspen,2,1.5,940
1785,4,Elm,3,1.5,1020
1785,5,Woodland,3,2,1230
1785,6,Willow,4,2,1310
1786,1,1A,1,1,650
1786,2,1B,1,1,700
1786,3,2A,2,1,860
1786,4,2B,2,2,1000
1818,1,1BD/1BR-1,1,1,732
1818,2,deluxe,1,1,792
1818,3,2BD/2BR-2,2,2,946
1818,4,deluxe,2,2,1005
1845,1,1 Bedroom,1,1,605
1845,2,1 Bedroom Deluxe,1,1,850
1845,3,2 Bedroom,2,1,975
1845,4,1 Bedroom Loft,1,1,1035
1845,5,2 Bedroom Deluxe,2,2,1135
1845,6,3 Bedroom,3,2,1292
1845,7,2 Bedroom Loft,2,2,1400
1900,1,Classic Package I,1,1,662
1900,2,1BD/1BR-1,1,1,698
1900,3,Classic Package I,1,1,710
1900,4,Classic Package I,1,1,762
1900,5,1BD/1BR-1,1,1,808
1900,6,2BD/2BR-2,2,2,1116
1900,7,2BD/2BR-2,2,2,1147
1900,8,2BD/2BR-2,2,2,1157
1900,9,Classic Package I,2,2,1164
1900,10,2BD/2BR-2,2,2,1172
1900,11,2BD/2BR-2,2,2,1215
1900,12,Renovated Package I,1,1,662
1900,13,Renovated Package III,1,1,710
1900,14,Renovated Package III,1,1,698
1900,15,Renovated Package I,1,1,808
1900,16,Renovated Package I,2,2,1172
1900,17,Renovated Package III,2,2,1215
1912,1,1BD/1BR-1,1,1,636
1912,5,1BD/1BR-1,1,1,718
1912,7,1BD/1BR-1,1,1,827
1912,8,2BD/1.5BR-2,2,1.5,867
1912,11,2BD/2BR-2,2,2,970
1918,1,Addison,1,1,675
1918,2,Austin,1,1,825
1918,3,Bentley,2,1,874
1918,4,Bastian,2,2,1161
1918,5,Crawford,3,2,1440
1918,6,HUD,1,1,520
1918,7,HUD,1,1,520
1918,8,HUD,2,1,874
1918,9,HUD,3,2,1440
1918,10,Den,2,2,1440
1930,1,1BD/1BR-1,1,1,753
1930,2,2BD/1BR-2,2,1,936
1930,3,3.0BD/1.5BA,3,1.5,1285
1930,4,3BD/2BR-3,3,2,1285
1938,1,1BD/1BR-1,1,1,700
1938,2,2BD/1BR-2,2,1,1080
1938,3,2BD/1.5BR-2,2,1.5,1100
1938,4,2BD/2BR-2,2,2,1080
1971,6,Maymont,1,1,510
1971,7,Innsbrook,2,1,836
1971,8,Dominion,2,2,930
1971,9,Valentine,1,1,624
1971,10,Virginia,1,1,710
1973,2,"1 Bed, 1 Bath 856 SF, 11a",1,1,856
1973,3,"1 Bed, 1 Bath 874 SF, 11b",1,1,874
1973,4,"2 Bed, 2 Bath 950 SF, 22",2,2,950
1973,5,"2 Bedroom, 1 Bath 1044 SF, 1d1",2,1,1044
1973,6,"2 Bed, 2 Bath 1072 SF, 22a",2,2,1072
1973,7,"2 Bed, 2 Bath 1090 SF , 22b",2,2,1090
1973,8,"1 Bed, 1 Bath 800 SF, 11",1,1,800
1973,9,"2 Bed, 1 Bath 920 SF, 21",2,1,920
1985,1,Warner west,1,1,713
1985,2,Whitney west,1,1,853
1985,3,loft Warner East,1,1,893
1985,4,loft Whitney East,1,1,1045
1985,5,Baldwin west,2,2,1198
1985,6,loft Baldwin east,2,2,1498
1985,7,Munson west,2,1,920
1985,8,Blake west,3,2,1298
1985,9,Warner east,1,1,713
1985,10,Whitney east,1,1,853
1985,11,loft Warner West,1,1,849
1985,12,loft Whitney West,1,1,1033
1985,13,Baldwin east,2,2,1246
1985,14,loft Baldwin west,2,2,1415
1985,15,Munson east,2,2,1097
1985,16,loft Munson east,2,1,1251
1985,17,"NEW CONSTRUCT 1,097-to1,251 Sq. Ft.ION - 2BR",2,1,1097
1994,1,A1,1,1,800
1994,2,B1,2,2,1000
1994,3,B2TH,2,2.5,1400
2114,4,Madison,1,1,675
2114,5,Alexander,1,1,756
2114,6,Lexington,2,1.5,945
2114,7,Montclair,3,2,1320
2132,1,1x1,1,1,700
2132,3,2X2,2,2,1040
2132,4,1x1U,1,1,700
2132,5,2x2U,2,2,1040
2158,1,1BD/1BR-1,1,1,662
2158,2,2BD/1BR-2,2,1,912
2158,3,2BD/2BR-2,2,2,960
2166,1,Colorado,1,1,570
2166,2,Pecos,1,1,677
2166,3,Rio Grande,2,1,802
2166,4,Frios,2,2,990
2166,5,Brazos,2,2,980
2166,6,Trinity,3,2,1128
2190,8,A2,1,1,1020
2190,9,A1,1,1,820
2190,12,B1,2,1,1020
2190,13,B3,2,2,1240
2190,14,B2,2,1,1137
2196,1,A1,1,1,540
2196,2,A2,1,1,600
2196,3,A3,1,1,687
2196,4,A4,1,1,728
2196,5,A5,1,1,818
2196,6,B1,2,2,884
2196,7,B2,2,2,960
2196,8,B3,2,2,971
2196,9,B4,2,2,1069
2198,1,The Fairmont,1,1,588
2198,2,The Liberty,2,2,960
2198,3,The Franklin,1,1,630
2198,4,The William Penn,1,1,643
2198,5,The Delaware,1,1,716
2198,8,The Eagle,1,1,720
2198,15,The Washington,2,2,960
2239,1,Oak,1,1,710
2239,2,Maple,1,1,775
2239,3,Cedar (Loft),1,1,850
2239,4,Willow,2,1,852
2239,5,Chestnut,2,1.5,940
2239,6,Sycamore,2,2,1045
2239,7,Sequoia (Den),2,2,1285
2282,1,A,1,1,662
2282,2,B,1,1,713
2282,3,C,1,1,784
2282,4,D,1,1,797
2282,5,E,2,1.5,976
2282,6,F,2,2,1063
2282,7,G,2,2,1091
2282,8,Plan 1A,1,1,655
2282,9,0BD/1BR-E,0,1,678
2289,1,Aspen,1,1,629
2289,2,Cypress B2,2,2,1050
2289,3,Daisy B3,2,2,1061
2289,4,Bellflower,2,2,981
2305,1,Windsurfer,1,1,615
2305,2,Sunsailor,1,1,770
2305,3,Outrigger,2,1,916
2305,4,Windjammer,2,2,1075
2305,5,Schooner,2,2,1197
2305,6,Clipper,3,2,1284
2319,1,A1,1,1,591
2319,2,A2,1,1,652
2319,3,A3,1,1,753
2319,4,B,1,1,864
2319,5,B1,2,2,950
2319,6,B2,2,2,1097
2319,7,AMHERST,1,1,678
2319,8,BARKLEY,1,1,795
2319,9,CHELSEA,1,1,801
2319,10,DOVER,2,2,894
2319,11,ESSEX,2,2,1007
2326,1,A1,1,1.5,650
2326,2,A2,1,1.5,690
2326,3,B1,2,1.5,850
2326,4,B2,2,1.5,890
2339,1,Eff,0,1,414
2339,2,1BD/1BR-1,1,1,539
2339,3,1BD/1BR-1,1,1,632
2339,4,1BD/1BR-1,1,1,676
2339,5,1BD/1BR-1,1,1,689
2339,6,Townhome,1,1,818
2339,7,2BD/2BR-2 965-985,2,2,985
2339,8,2BD/1BR-2,2,1,816
2344,1,Edge,1,1,689
2344,2,Core,1,1,808
2344,3,Axis,1,1,860
2344,4,Compass,2,1,950
2344,5,Target,2,2,1100
2344,6,Verge,3,2,1375
2344,7,Zen,3,2,1475
2356,1,One Bedroom,1,1,570
2356,2,One Bedroom,1,1,560
2356,3,One Bedroom,1,1,710
2356,4,Two Bedroom,2,2,870
2356,5,Two Bedroom,2,2,935
2360,9,0BD/1BR-E,0,1,400
2360,10,A,1,1,520
2360,11,B,1,1,600
2360,12,C,1,1,620
2360,13,D,1,1,640
2360,14,2BD/1BR-2,2,1,890
2360,15,1316 sf,3,2,1290
2362,1,Tier 5/11,1,1,641
2362,2,Tier 02,1,1,755
2362,3,Tier 7/13,1,1,722
2362,4,Tier 08,1,1,797
2362,5,Tier 9/15,1,1,734
2362,6,Tier 10/16,1,1,843
2362,7,Tier 01,1,1,831
2362,8,Tier 3/4,2,2,1150
2362,9,Tier 6/12,0,1,430
2362,10,Tier 14,1,1,760
2367,1,1BD/1BR-1,1,1,471
2367,2,1.0BD/1.0BA,1,1,650
2367,3,2BD/1BR-2,2,1,800
2367,4,2BD/2BR-2,2,2,945
2374,1,Lamplighter,1,1,460
2374,2,Manor,1,1,463
2374,3,Villa,1,1,603
2374,4,Chalet,1,1,665
2374,5,Squire,2,1,800
2374,6,Townsquare,2,2,930
2374,7,Regency,3,2,1185
2374,8,Chateau,1,1,800
2375,5,PETITE SIRAH,1,1,661
2375,6,CABERNET SAUVIGNON,2,1,1028
2375,7,SAUVIGNON BLANC,2,1,885
2375,8,PINOT NOIR,3,2,1301
2382,1,1BD/1BR-1,1,1,587
2382,2,1BD/1BR-1,1,1,653
2382,3,1BD/1BR-1,1,1,706
2382,4,1BD/1BR-1,1,1,735
2382,5,1BD/1BR-1,1,1,823
2382,6,2BD/1BR-2,2,1,856
2382,7,2BD/1BR-2,2,1,958
2382,8,2BD/2BR-2,2,2,952
2382,9,2BD/2BR-2,2,2,1034
2382,10,2BD/2BR-2,2,2,1013
2382,11,2BD/2BR-2,2,2,1141
2384,1,1BD/1BR-1,1,1,679
2384,2,2BD/2BR-2,2,2,884
2405,1,A,1,1,635
2405,2,B,1,1,725
2405,3,C w/garage,1,1,745
2405,4,garage,1,1,900
2405,5,den/garage,1,1,925
2405,6,garage,2,2,1100
2405,7,Plan E2,2,1,900
2498,19,A,1,1,643
2498,20,A2,1,1,875
2498,21,A1,1,1,755
2498,22,B,2,1,1027
2498,24,B2,2,2,1079
2498,26,C,3,2,1355
2506,1,Capri,1,1,625
2506,2,Riviera,2,2,1060
2506,3,Tuscany,3,2,1488
2506,4,St. Tropez,3,2,1355
2507,1,1BD/1BR-1,1,1,504
2507,2,1BD/1BR-1,1,1,637
2507,3,1BD/1BR-1,1,1,700
2507,4,2BD/2BR-2,2,2,850
2507,5,1BD/1BR-1,1,1,800
2510,1,1A,1,1,552
2510,2,1B,1,1,610
2510,4,2A,2,2,960
2510,5,2B,2,2,990
2510,6,2C,2,2,1210
2510,7,1C,1,1,794
2510,8,1A Renovation 3,1,1,552
2510,9,1B Renovation 2,1,1,610
2510,10,2A Renovation 2,2,2,960
2510,11,2C Renovation 2,2,2,1210
2510,12,2B Renovation 3,2,2,990
2519,1,A1 /  A1R,1,1,665
2519,2,A2 / A2R,1,1,845
2519,3,B1 / B1R,2,1,990
2519,4,B2 / B2R,2,2,1160
2537,1,Countryside,1,1,550
2537,2,Woodland,1,1,650
2537,3,Creekside,1,1,770
2537,4,Hillside,2,1,920
2537,5,Valley,2,2,1000
2537,6,Meadow,2,1,820
2537,7,Glen,2,2,1077
2537,8,Prairie,2,2,1065
2540,1,1x1Ac| 1x1AP1|1x1Ap|1x1AR1,1,1,650
2540,2,1x1BR1|1x1Bc|1x1BP1|1x1Bp,1,1,750
2540,3,2x1P1|2x1p| 2x1R1|2x1c| 2x1CR1,2,1,850
2540,4,2x2Ap|2x2Ac|2x2AR1|2x2AP1,2,2,1000
2540,5,2x2Bc| 2x2Bp| 2x2BR1|2x2BP1,2,2,1050
2540,6,2x2Cp| 2x2CP1|2x2CR1,2,2,1100
2561,1,A1,1,1,615
2561,2,B1,2,1,915
2561,3,C1,3,2,1284
2561,4,A2,1,1,750
2561,5,B2,2,2,1075
2561,6,B3,2,2,1198
2574,5,B1 w/d,2,1,915
2574,6,A2 w/d,1,1,746
2574,7,B2 w/d,2,2,1080
2574,8,A1 w/d,1,1,570
2585,1,1BD/1BR-1,1,1,790
2585,2,1BD/1BR-1,1,1,850
2585,3,2BD/1BR-2,2,1,980
2585,4,1BD/1BR-1,1,1,870
2586,1,Plan A,1,1,664
2586,2,Plan B,2,2,865
2586,3,Plan C,2,2,871
2587,1,Seville,1,1,543
2587,2,Madrid,1,1,626
2587,3,Cordoba,1,1,727
2587,4,Valencia,2,2,950
2587,5,Maiorca,2,1,905
2587,6,Barcelona,2,1,865
2587,7,La Paz,2,2,965
2594,1,A1,1,1,677
2594,2,A2,1,1,808
2594,3,B1,2,2,1073
2594,4,B2,2,2,1103
2598,1,Residence 1,1,1,700
2598,2,Residence 2,2,1,940
2598,3,Residence 3,2,2,995
2598,4,Residence 4,3,2,1100
2598,5,Residence 1 Luxury,1,1,700
2598,6,Residence 3 Luxury,2,2,995
2598,7,Residence 2 Luxury,2,1,940
2598,8,Residence 3 Upgraded,2,2,995
2598,9,Residence 4 Luxur,3,2,1100
2706,1,A1,1,1,698
2706,2,A2,1,1,875
2706,3,B1 w/Den,2,1,968
2706,4,B2,2,2,1129
2706,5,C1,3,2,1556
2709,1,Massie,0,1,537
2709,2,Cleary,1,1,622
2709,3,Hastings,1,1,735
2709,4,Fry,2,1,870
2709,5,Grant,2,2,955
2709,6,Regiment,2,2,1008
2709,7,Floweree,2,2.5,1182
2709,8,Winterset,3,3,1400
2844,1,Ash,1,1,642
2844,2,Birch,1,1,742
2844,3,Pine,2,1,875
2844,4,Elm,2,2,991
2844,5,Oak,3,2,1206
2871,1,A1,1,1,500
2871,2,A2,1,1,715
2871,3,A3,1,1,820
2871,4,B1,2,2,1000
2871,5,C1,3,3,1200
2899,2,1 bd / 1 ba,1,1,825
2899,3,2 bd / 1 ba,2,1,1050
2899,4,3BD/1.5BR-3,3,1.5,1120
2899,6,3 bd / 1.5 ba,3,1.5,1125
2901,1,Oak,0,1,500
2901,2,A1R,1,1,750
2901,3,A2R,1,1,825
2901,4,B1R,2,1,950
2901,5,Classic,2,1,1450
2901,6,A3,1,1,470
2901,7,A4,1,1,673
2917,1,Abbey,1,1,540
2917,2,Plaza,1,1,750
2917,3,Rio Loft,1,1,950
2917,4,Majestic,2,2,1100
2917,5,Mansion,2,2,1200
2917,6,Palace,2,2,1250
2917,7,City Loft,2,2,1300
2923,1,Picasso,1,1,750
2923,2,Van Gogh,2,2,985
2923,3,Matisse,2,2,1100
2927,1,1BD/1BR-1,1,1,790
2927,2,1BD/1.5BR-1,1,1.5,850
2927,3,2BD/1BR-2,2,1,1019
