property_id,property_name,website,evidence_lane,artifact,units,property_identity_match,contamination_verdict,native_identity_rows,native_positive_rent_rows,source_urls,sample_native_unit_ids,local_validation
1375,Lakewood,http://www.lakewood-apartments.net/,entrata_residual_exact_direct_revalidation,/private/tmp/propai-fnd-vBkmT9/entrata_residual_lane/evidence_entrata_1375_lakewood_current_strict.json,19,True,pass_exact_property_native_ids_positive_rents_no_sibling_contamination,19,19,https://www.lakewood-apartments.net/floorplans/tomball-TX/lakewood-apartments/a1c-28418-1/ | https://www.lakewood-apartments.net/floorplans/tomball-TX/lakewood-apartments/a2c-28414-1/ | https://www.lakewood-apartments.net/floorplans/tomball-TX/lakewood-apartments/b1c-28407-1/ | https://www.lakewood-apartments.net/floorplans/tomball-TX/lakewood-apartments/b1d-28406-1/ | https://www.lakewood-apartments.net/floorplans/tomball-TX/lakewood-apartments/b2c-28409-1/ | https://www.lakewood-apartments.net/floorplans/tomball-TX/lakewood-apartments/b2d-28410-1/ | https://www.lakewood-apartments.net/floorplans/tomball-TX/lakewood-apartments/b2dq-28408-1/ | https://www.lakewood-apartments.net/floorplans/tomball-TX/lakewood-apartments/b2p-28416-1/ | https://www.lakewood-apartments.net/floorplans/tomball-TX/lakewood-apartments/c1c-28412-1/,1915:107047 | 1916:107048 | 1608:106992 | 1113:106917 | 1205:106925,saved_hb_revalidated_by_current_exact_direct_session_no_paid_canary
18764,Americana Palos Verdes,https://www.americana-apts.com/,entrata_residual_exact_profile_detail_hb,/private/tmp/propai-fnd-vBkmT9/entrata_residual_lane/evidence_entrata_18764_current_strict.json,3,True,pass_exact_profile_url_same_origin_identity_native_positive_rent,3,3,https://www.americana-apts.com/floorplans/las-vegas-NV/apv-americana/studios-850303-1/,100:5084731 | 34:5084665 | 73:5084704,one_bounded_hb_session_exact_profile_url_no_captcha_no_canary
19877,Advenir at Magnolia,http://www.adveniratmagnolia.com/,entrata_residual_exact_property_hb_followup,/private/tmp/propai-fnd-vBkmT9/entrata_residual_lane/evidence_entrata_19877_current_strict.json,7,True,pass_exact_property_published_same_origin_native_ids_positive_rents,7,7,https://www.advenirliving.com/magnolia/floorplans/fern-park-fl-apartments-FL/advenir-at-magnolia/a-star-574739-1/ | https://www.advenirliving.com/magnolia/floorplans/fern-park-fl-apartments-FL/advenir-at-magnolia/ar-star-r-574740-1/ | https://www.advenirliving.com/magnolia/floorplans/fern-park-fl-apartments-FL/advenir-at-magnolia/b-sweetbay-574735-1/ | https://www.advenirliving.com/magnolia/floorplans/fern-park-fl-apartments-FL/advenir-at-magnolia/br-sweetbay-r-574736-1/ | https://www.advenirliving.com/magnolia/floorplans/fern-park-fl-apartments-FL/advenir-at-magnolia/s-lily-574737-1/,115:4320500 | 103:4320511 | 106:4320679 | 207:4320575 | 205:4320588,one_bounded_hb_session_exact_property_no_captcha_no_canary
40398,Canyon Springs,https://www.canyonspringsfresno.com/,entrata_residual_current_canonical_route_direct_vus,/private/tmp/propai-fnd-vBkmT9/entrata_residual_lane/evidence_entrata_40398_canyon_springs_current_strict.json,1,True,pass_exact_property_published_vus_native_ids_positive_rents,1,1,"https://www.canyonspringsfresno.com/?module=check_availability&is_secure=1&property[id]=673205&action=view_unit_spaces&property_floorplan[id]=777076&cached_rate_available=1&min_rent=$1,750&max_rent=$1,750&min_deposit=1100.0000&max_deposit=1100.0000&is_valid_rent=1&lease_term_name=&popup_lease_term_name=&move_in_date=2026-08-01&occupancy_type=conventional&unit_count=1",226:4476796,current_canonical_homepage_to_exact_grid_to_published_vus_no_hb_no_canary
46257,Advenir at Mayfield,https://www.adveniratmayfield.com/,entrata_residual_exact_property_hb_followup,/private/tmp/propai-fnd-vBkmT9/entrata_residual_lane/evidence_entrata_46257_current_strict.json,11,True,pass_exact_property_published_same_origin_native_ids_positive_rents,11,11,https://www.advenirliving.com/mayfield/floorplans/midland-TX/advenir-at-mayfield/grande-645623-1/ | https://www.advenirliving.com/mayfield/floorplans/midland-TX/advenir-at-mayfield/mesquite-645619-1/ | https://www.advenirliving.com/mayfield/floorplans/midland-TX/advenir-at-mayfield/mission-645621-1/,D207:4358355 | E307:4358387 | N302:4358550 | O304:4358576 | E204:4358376,one_bounded_hb_session_exact_property_no_captcha_no_canary
54936,Brentwood Square,https://brentwoodsquareapts.prospectportal.com/,entrata_residual_exact_profile_detail_hb,/private/tmp/propai-fnd-vBkmT9/entrata_residual_lane/evidence_entrata_54936_current_strict.json,1,True,pass_exact_profile_url_same_origin_identity_native_positive_rent,1,1,https://brentwoodsquareapts.prospectportal.com/seattle/22-brentwood-square/floorplans/2-bed2-bath-839-1155597/fp_name/occupancy_type/conventional/,143D:5361379,one_bounded_hb_session_exact_profile_url_no_captcha_no_canary
67684,Two Light,http://twolightkc.com/,entrata_residual_exact_profile_route_direct_vus,/private/tmp/propai-fnd-vBkmT9/entrata_residual_lane/evidence_entrata_67684_two_light_current_strict.json,2,True,pass_exact_property_published_vus_native_ids_positive_rents,2,2,"https://twolight.prospectportal.com/?module=check_availability&is_secure=1&property[id]=265564&action=view_unit_spaces&property_floorplan[id]=580014&cached_rate_available=1&min_rent=$2,590&max_rent=$3,140&min_advertised_base_rent=4050&max_advertised_base_rent=5557&min_deposit=1500.0000&max_deposit=1500.0000&move_in_date=2026-08-01&occupancy_type=conventional&unit_count=1",2405:4321822 | 2505:4321831,current_exact_profile_route_published_vus_no_hb_no_paid_canary
257761,The Emory,https://www.theemoryplano.com/,entrata_residual_exact_profile_detail_hb,/private/tmp/propai-fnd-vBkmT9/entrata_residual_lane/evidence_entrata_257761_current_strict.json,1,True,pass_exact_profile_url_same_origin_identity_native_positive_rent,1,1,https://www.theemoryplano.com/floorplans/plano-TX/the-emory/parkwood-1159180-1/,451:5077303,one_bounded_hb_session_exact_profile_url_no_captcha_no_canary
