property_id,property_name,route_kind,discovery_source,requested_url,status,final_url,body_bytes,body_sha256,page_name_match,page_address_match,source_property_name,source_property_address,source_name_match,source_address_match,strongest_parser,raw_rows,raw_native_positive_rent_rows,waitlist_pseudo_rows,strict_real_native_pre_postprocess,strict_real_native_postprocess,parser_counts,sample_rows,error
69558,Spring Hill Apartments,marketing_root,current_direct,https://www.goldberg-realty.com/spring-hill-apartments/default.aspx?_yTrackUser=NjYxMjI5OTY5IzE0NTQ0NTc5MTc=-lDwvxVr1Jx8=&_yTrackVisit=MTQ4NjYyNzQ2OCM2NDQ2Nzc2ODg%3d-W7HwJRKaxxE%3d&_yTrackReqDT=05551420201206,200,https://www.goldberg-realty.com/spring-hill-apartments/default.aspx?_yTrackUser=NjYxMjI5OTY5IzE0NTQ0NTc5MTc=-lDwvxVr1Jx8=&_yTrackVisit=MTQ4NjYyNzQ2OCM2NDQ2Nzc2ODg%3d-W7HwJRKaxxE%3d&_yTrackReqDT=05551420201206,294088,b2b2ca32c276c426e2aebae046ada7fc937f0fdb1859e3627c7e068cc368c3bb,True,True,,,False,False,securecafe_availableunits,0,0,0,0,0,"{""rentcafe_hosted_table"": 0, ""rentcafe_layout_tab_applyga"": 0, ""rentcafe_nestin_detail"": 0, ""rentcafe_ysi_unitslist"": 0, ""securecafe_availableunits"": 0}",[],
71534,Riverwalk on the Falls I,marketing_root,current_direct,https://www.wimmercommunities.com/apartments/menomonee-falls/riverwalk-on-the-falls/,404,https://www.wimmercommunities.com/apartments/menomonee-falls/riverwalk-on-the-falls/,84730,0a0cd27a6e2a024816c927a9dcde552dd0622a23282e116a34fb3e1b6a8c221d,False,False,,,False,False,securecafe_availableunits,0,0,0,0,0,"{""rentcafe_hosted_table"": 0, ""rentcafe_layout_tab_applyga"": 0, ""rentcafe_nestin_detail"": 0, ""rentcafe_ysi_unitslist"": 0, ""securecafe_availableunits"": 0}",[],
72743,Della Plaza,marketing_root,current_direct,https://brandywinecommunities.com/properties/della-plaza/,202,https://brandywinecommunities.com/properties/della-plaza/,194,5ac317a8de98bfe9794a97e36dd7594644924d444efedf50f618a9205e5cbbd8,False,False,,,False,False,securecafe_availableunits,0,0,0,0,0,"{""rentcafe_hosted_table"": 0, ""rentcafe_layout_tab_applyga"": 0, ""rentcafe_nestin_detail"": 0, ""rentcafe_ysi_unitslist"": 0, ""securecafe_availableunits"": 0}",[],
74519,The Jamestown,marketing_root,current_direct,https://www.thejamestownapartments.com/,200,https://www.thejamestownapartments.com/,72813,d478892c53b6af8f81b00a21f07ba096e845ea898dba429d401d53f3cf53be31,True,True,,,False,False,securecafe_availableunits,0,0,0,0,0,"{""rentcafe_hosted_table"": 0, ""rentcafe_layout_tab_applyga"": 0, ""rentcafe_nestin_detail"": 0, ""rentcafe_ysi_unitslist"": 0, ""securecafe_availableunits"": 0}",[],
218786,Cooper's Landing,marketing_root,current_direct,https://www.landcoapartments.com/coopers-landing-apartments/,200,https://www.landcoapartments.com/coopers-landing-apartments/,639623,20b42005ddaf038ffcd13394dc217ace436a625e50b3d19c20f93c0f08a7895f,False,False,,,False,False,securecafe_availableunits,0,0,0,0,0,"{""rentcafe_hosted_table"": 0, ""rentcafe_layout_tab_applyga"": 0, ""rentcafe_nestin_detail"": 0, ""rentcafe_ysi_unitslist"": 0, ""securecafe_availableunits"": 0}",[],
219752,Lamphouse,marketing_root,current_direct,https://lamphouseapts.com/,202,https://lamphouseapts.com/,167,9599d0db6ec200bb31825d8ea07aceb5c57ae2b74a6b60e730f3393d5c0d6359,False,False,,,False,False,securecafe_availableunits,0,0,0,0,0,"{""rentcafe_hosted_table"": 0, ""rentcafe_layout_tab_applyga"": 0, ""rentcafe_nestin_detail"": 0, ""rentcafe_ysi_unitslist"": 0, ""securecafe_availableunits"": 0}",[],
220907,Reserve At Bradbury Place,marketing_root,current_direct,https://www.keystonemanagement.com/apartments/nc/reserve-at-bradbury-place,202,https://www.keystonemanagement.com/apartments/nc/reserve-at-bradbury-place,210,e65760aa00193594dbfa846b7c6cfc1d82ce91ef0745529064f8e722cc55ef8b,False,False,,,False,False,securecafe_availableunits,0,0,0,0,0,"{""rentcafe_hosted_table"": 0, ""rentcafe_layout_tab_applyga"": 0, ""rentcafe_nestin_detail"": 0, ""rentcafe_ysi_unitslist"": 0, ""securecafe_availableunits"": 0}",[],
223248,Royal Oaks,marketing_root,current_direct,http://www.metroplexapts.com,200,https://www.metrocityapts.com/,1467921,e116b398bd4241237effa1e5f6bdfcc510c8aef747e8420dca58ac8e86ea3b32,True,True,,,False,False,securecafe_availableunits,0,0,0,0,0,"{""rentcafe_hosted_table"": 0, ""rentcafe_layout_tab_applyga"": 0, ""rentcafe_nestin_detail"": 0, ""rentcafe_ysi_unitslist"": 0, ""securecafe_availableunits"": 0}",[],
225886,Casa Baywood,marketing_root,current_direct,https://www.casabaywoodapts.com/,200,https://www.casabaywoodapts.com/,132974,cdd023b3a28661e5bfc7dfa2ba5deded58c5389d843d58ba781e6913e93ecd56,True,True,,,False,False,securecafe_availableunits,0,0,0,0,0,"{""rentcafe_hosted_table"": 0, ""rentcafe_layout_tab_applyga"": 0, ""rentcafe_nestin_detail"": 0, ""rentcafe_ysi_unitslist"": 0, ""securecafe_availableunits"": 0}",[],
231543,Autumn Hills,marketing_root,current_direct,https://bestrentnj.com/Communities/Autumn-Hills/,200,https://bestrentnj.com/Communities/Autumn-Hills/,212111,e8f74efd091c90d00eeb288aae074766598a8796cdb70903cd61c5752430305a,True,True,,,False,False,securecafe_availableunits,0,0,0,0,0,"{""rentcafe_hosted_table"": 0, ""rentcafe_layout_tab_applyga"": 0, ""rentcafe_nestin_detail"": 0, ""rentcafe_ysi_unitslist"": 0, ""securecafe_availableunits"": 0}",[],
