property_id,property_name,website,address,city,state,source_adapter_0731,current_detected_adapter,rp_oracle_native_unit_rows,rp_oracle_distinct_floorplans,prior_disposition,current_status,current_final_url,current_body_bytes,current_body_sha256,current_name_match,current_address_match,current_error
220907,Reserve At Bradbury Place,https://www.keystonemanagement.com/apartments/nc/reserve-at-bradbury-place,560 W New Hope Rd,Goldsboro,NC,rentcafe,rentcafe,21,6,residual_unconverted,202,https://www.keystonemanagement.com/apartments/nc/reserve-at-bradbury-place,210,e65760aa00193594dbfa846b7c6cfc1d82ce91ef0745529064f8e722cc55ef8b,False,False,
223248,Royal Oaks,http://www.metroplexapts.com,701 Royal Oaks Ct,Monmouth Junction,NJ,rentcafe,rentcafe,0,0,residual_unconverted,200,https://www.metrocityapts.com/,1467921,e116b398bd4241237effa1e5f6bdfcc510c8aef747e8420dca58ac8e86ea3b32,True,True,
225886,Casa Baywood,https://www.casabaywoodapts.com/,212 S El Camino Real,San Mateo,CA,rentcafe,rentcafe,0,0,securecafe_exact_base_direct_blocked_or_pending_hb,200,https://www.casabaywoodapts.com/,132974,cdd023b3a28661e5bfc7dfa2ba5deded58c5389d843d58ba781e6913e93ecd56,True,True,
231543,Autumn Hills,https://bestrentnj.com/Communities/Autumn-Hills/,400 Hoover Way,Woodbridge,NJ,rentcafe,rentcafe,0,0,securecafe_exact_base_direct_blocked_or_pending_hb,200,https://bestrentnj.com/Communities/Autumn-Hills/,212111,e8f74efd091c90d00eeb288aae074766598a8796cdb70903cd61c5752430305a,True,True,
234385,Townhomes at Spring Valley,http://www.mmgapts.com/spring-valley.htm,2149 B Elder St,Reading,PA,rentcafe,rentcafe,0,0,residual_unconverted,200,https://mmgapts.com/property/townhomes-at-spring-valley/,85398,0f50790d9f6ef671e3819a50d1ae3db3b336168c0c05ca4048f111618e3f889e,True,False,
241538,Block 88,http://www.block88apts.com/,1304 NE 88th St,Vancouver,WA,rentcafe,rentcafe,0,0,securecafe_exact_base_direct_blocked_or_pending_hb,200,https://www.block88apts.com/,183933,c4e79212ce76857259c6f44f4184367e528213abd1f0aa5a0d0d45392827b2b2,True,True,
244756,Town Commons,https://harvest-properties.com/project/town-commons-apartments/,1600 Town Commons Dr,Howell,MI,rentcafe,rentcafe,6,6,residual_unconverted,200,https://harvest-properties.com/project/town-commons-apartments/,391762,e62aa70224b840cfa0fb9d9c7305e321b2cffe0b9292348ec707ce400857577d,True,True,
262799,220 East 72nd,https://www.dermotcompany.com/building/220-east-72nd-street#availability,220 E 72nd St,New York,NY,rentcafe,rentcafe,2,1,securecafe_exact_base_direct_blocked_or_pending_hb,200,https://www.dermotcompany.com/building/220-east-72nd-street#availability,394692,bfc55697c77c5a4c852a3bb98ba0c714dd53d1f8cc38963d9a1a891c6c6eb0a3,True,True,
266766,101 Oxford,https://www.101oxford.com/,101 W Oxford St,Philadelphia,PA,rentcafe,rentcafe,0,0,securecafe_exact_base_direct_blocked_or_pending_hb,200,https://www.101oxford.com/,153845,cd69622493668d19957db62c8250166597c77bfaabf3c92f15849a537ff71bfb,True,True,
277913,Redwood Perrysburg Oregon Road,https://www.byredwood.com/apartments/oh/perrysburg/redwood-perrysburg-oregon-road/index.aspx,28863 Oregon Rd,Perrysburg,OH,,rentcafe,0,0,residual_unconverted,200,https://rentatredwood.com/apartments/oh/perrysburg/redwood-perrysburg-oregon-road/,293576,300cf69345abfb6ee098072fb8e90c889be860e805c1bd5ef6a5d1158f9eac89,True,True,
289338,201 Walnut,https://www.201walnut.com/,201 Walnut Ave,Cranford,NJ,rentcafe,rentcafe,0,0,securecafe_exact_base_direct_blocked_or_pending_hb,200,https://www.201walnut.com/,163869,dfe8031b55a83567a8276881d2d2215273e40cab40a429133c5206d75836f1d1,True,True,
