property_id,property_name,website,rp_oracle_native_unit_rows,strict_pass,units,property_identity_match,contamination_verdict,native_identity_rows,native_positive_rent_rows,source_urls,sample_native_unit_ids,local_validation,source_support,adapter_e2e,unit_samples
29566,Heatherwood I,https://heatherwoodfl.com/,0,True,3,True,pass_exact_property_single_winning_source_no_sibling_rows,3,3,https://heatherwoodfl.securecafeapplicant.com/onlineleasing/api/floorplan/getfloorplanandavailableunits?propertyId=1723103&RequestBeforeLogin=true&isPropertyList=false,1101E | 1013J | 1007K,current_candidate_full_rentcafe_adapter_e2e_direct_only,current_direct_exact_bound_applicant,"{""adapter_units"": 6, ""error"": """", ""passed"": true, ""plans"": 3, ""strict_native_positive_rent_rows"": 3, ""tier"": ""TIER_1_API_RENTCAFE_SECURECAFE_APPLICANT"", ""winning_url"": ""https://heatherwoodfl.securecafeapplicant.com/onlineleasing/api/floorplan/getfloorplanandavailableunits?propertyId=1723103&RequestBeforeLogin=true&isPropertyList=false""}","[{""availability_date"": ""09/02/2026"", ""bathrooms"": ""1.0"", ""bedrooms"": ""1"", ""floor_plan_name"": ""One Bedroom"", ""market_rent_high"": 1175, ""market_rent_low"": 1175, ""source_api_url"": ""https://heatherwoodfl.securecafeapplicant.com/onlineleasing/api/floorplan/getfloorplanandavailableunits?propertyId=1723103&RequestBeforeLogin=true&isPropertyList=false"", ""source_ids"": {""property_name"": ""Heatherwood Apartments"", ""securecafe_apartment_id"": ""38161013"", ""securecafe_floorplan_id"": ""5188822""}, ""sqft"": ""576"", ""unit_number"": ""1101E""}, {""availability_date"": ""09/02/2026"", ""bathrooms"": ""1.0"", ""bedrooms"": ""1"", ""floor_plan_name"": ""One Bedroom"", ""market_rent_high"": 1175, ""market_rent_low"": 1175, ""source_api_url"": ""https://heatherwoodfl.securecafeapplicant.com/onlineleasing/api/floorplan/getfloorplanandavailableunits?propertyId=1723103&RequestBeforeLogin=true&isPropertyList=false"", ""source_ids"": {""property_name"": ""Heatherwood Apartments"", ""securecafe_apartment_id"": ""38161087"", ""securecafe_floorplan_id"": ""5188822""}, ""sqft"": ""576"", ""unit_number"": ""1013J""}, {""availability_date"": ""09/01/2026"", ""bathrooms"": ""1.0"", ""bedrooms"": ""1"", ""floor_plan_name"": ""One Bedroom"", ""market_rent_high"": 1175, ""market_rent_low"": 1175, ""source_api_url"": ""https://heatherwoodfl.securecafeapplicant.com/onlineleasing/api/floorplan/getfloorplanandavailableunits?propertyId=1723103&RequestBeforeLogin=true&isPropertyList=false"", ""source_ids"": {""property_name"": ""Heatherwood Apartments"", ""securecafe_apartment_id"": ""38161054"", ""securecafe_floorplan_id"": ""5188822""}, ""sqft"": ""576"", ""unit_number"": ""1007K""}]"
277913,Redwood Perrysburg Oregon Road,https://www.byredwood.com/apartments/oh/perrysburg/redwood-perrysburg-oregon-road/index.aspx,0,True,6,True,pass_exact_property_single_winning_source_no_sibling_rows,6,6,https://byredwood.securecafe.com/onlineleasing/redwood-perrysburg-oregon-road/availableunits.aspx,D30 | G69 | H88 | E48 | H87,current_candidate_full_rentcafe_adapter_e2e_direct_only,current_direct_exact_securecafe,"{""adapter_units"": 6, ""error"": """", ""passed"": true, ""plans"": 0, ""strict_native_positive_rent_rows"": 6, ""tier"": ""TIER_1_API_RENTCAFE_SECURECAFE"", ""winning_url"": ""https://byredwood.securecafe.com/onlineleasing/redwood-perrysburg-oregon-road/availableunits.aspx""}","[{""availability_date"": """", ""bathrooms"": ""2.0"", ""bedrooms"": ""2"", ""floor_plan_name"": ""Fernwood"", ""market_rent_high"": 2267, ""market_rent_low"": 1880, ""source_api_url"": ""https://byredwood.securecafe.com/onlineleasing/redwood-perrysburg-oregon-road/availableunits.aspx"", ""source_ids"": {""securecafe_floorplan_id"": ""3165581""}, ""sqft"": ""1123"", ""unit_number"": ""D30""}, {""availability_date"": """", ""bathrooms"": ""2.0"", ""bedrooms"": ""2"", ""floor_plan_name"": ""Fernwood"", ""market_rent_high"": 2250, ""market_rent_low"": 1824, ""source_api_url"": ""https://byredwood.securecafe.com/onlineleasing/redwood-perrysburg-oregon-road/availableunits.aspx"", ""source_ids"": {""securecafe_floorplan_id"": ""3165581""}, ""sqft"": ""1123"", ""unit_number"": ""G69""}, {""availability_date"": """", ""bathrooms"": ""2.0"", ""bedrooms"": ""2"", ""floor_plan_name"": ""Hazelwood"", ""market_rent_high"": 2367, ""market_rent_low"": 1983, ""source_api_url"": ""https://byredwood.securecafe.com/onlineleasing/redwood-perrysburg-oregon-road/availableunits.aspx"", ""source_ids"": {""securecafe_floorplan_id"": ""3165582""}, ""sqft"": ""1200"", ""unit_number"": ""H88""}, {""availability_date"": """", ""bathrooms"": ""2.0"", ""bedrooms"": ""2"", ""floor_plan_name"": ""Hazelwood"", ""market_rent_high"": 2319, ""market_rent_low"": 1908, ""source_api_url"": ""https://byredwood.securecafe.com/onlineleasing/redwood-perrysburg-oregon-road/availableunits.aspx"", ""source_ids"": {""securecafe_floorplan_id"": ""3165582""}, ""sqft"": ""1200"", ""unit_number"": ""E48""}, {""availability_date"": """", ""bathrooms"": ""2.0"", ""bedrooms"": ""2"", ""floor_plan_name"": ""Hazelwood"", ""market_rent_high"": 2394, ""market_rent_low"": 1983, ""source_api_url"": ""https://byredwood.securecafe.com/onlineleasing/redwood-perrysburg-oregon-road/availableunits.aspx"", ""source_ids"": {""securecafe_floorplan_id"": ""3165582""}, ""sqft"": ""1200"", ""unit_number"": ""H87""}]"
220907,Reserve At Bradbury Place,https://www.keystonemanagement.com/apartments/nc/reserve-at-bradbury-place,21,True,21,True,pass_exact_property_single_winning_source_no_sibling_rows,21,21,https://reserve-at-bradbury-place-0-rentcafewebsite.securecafe.com/onlineleasing/reserve-at-bradbury-place-0/availableunits.aspx,554B7 | 554C2 | 524A2 | 552C2 | 522C5,current_candidate_full_rentcafe_adapter_e2e_direct_only,hb_discovered_exact_published_securecafe_then_direct_data_fetch,"{""adapter_units"": 21, ""error"": """", ""passed"": true, ""plans"": 0, ""strict_native_positive_rent_rows"": 21, ""tier"": ""TIER_1_API_RENTCAFE_SECURECAFE"", ""winning_url"": ""https://reserve-at-bradbury-place-0-rentcafewebsite.securecafe.com/onlineleasing/reserve-at-bradbury-place-0/availableunits.aspx""}","[{""availability_date"": """", ""bathrooms"": ""2.0"", ""bedrooms"": ""2"", ""floor_plan_name"": ""Biltmore"", ""market_rent_high"": 1525, ""market_rent_low"": 1525, ""source_api_url"": ""https://reserve-at-bradbury-place-0-rentcafewebsite.securecafe.com/onlineleasing/reserve-at-bradbury-place-0/availableunits.aspx"", ""source_ids"": {}, ""sqft"": ""1053"", ""unit_number"": ""554B7""}, {""availability_date"": """", ""bathrooms"": ""2.0"", ""bedrooms"": ""2"", ""floor_plan_name"": ""Biltmore"", ""market_rent_high"": 1525, ""market_rent_low"": 1525, ""source_api_url"": ""https://reserve-at-bradbury-place-0-rentcafewebsite.securecafe.com/onlineleasing/reserve-at-bradbury-place-0/availableunits.aspx"", ""source_ids"": {}, ""sqft"": ""1053"", ""unit_number"": ""554C2""}, {""availability_date"": """", ""bathrooms"": ""2.0"", ""bedrooms"": ""2"", ""floor_plan_name"": ""Biltmore"", ""market_rent_high"": 1525, ""market_rent_low"": 1525, ""source_api_url"": ""https://reserve-at-bradbury-place-0-rentcafewebsite.securecafe.com/onlineleasing/reserve-at-bradbury-place-0/availableunits.aspx"", ""source_ids"": {}, ""sqft"": ""1053"", ""unit_number"": ""524A2""}, {""availability_date"": """", ""bathrooms"": ""2.0"", ""bedrooms"": ""3"", ""floor_plan_name"": ""Dover - Screen Patio"", ""market_rent_high"": 1675, ""market_rent_low"": 1675, ""source_api_url"": ""https://reserve-at-bradbury-place-0-rentcafewebsite.securecafe.com/onlineleasing/reserve-at-bradbury-place-0/availableunits.aspx"", ""source_ids"": {}, ""sqft"": ""1249"", ""unit_number"": ""552C2""}, {""availability_date"": """", ""bathrooms"": ""1.0"", ""bedrooms"": ""1"", ""floor_plan_name"": ""Havencrest - Sunroom"", ""market_rent_high"": 1400, ""market_rent_low"": 1400, ""source_api_url"": ""https://reserve-at-bradbury-place-0-rentcafewebsite.securecafe.com/onlineleasing/reserve-at-bradbury-place-0/availableunits.aspx"", ""source_ids"": {}, ""sqft"": ""811"", ""unit_number"": ""522C5""}]"
