property_id,property_name,website,source_adapter_0731,current_detected_adapter,rp_oracle_native_unit_rows,rp_oracle_distinct_floorplans,prior_disposition
52182,Woodside Village Apartments,http://www.woodsideapartments.net,generic_plan_text,generic_plan_text,3,3,direct_or_archived_lane_exhausted_no_strict_win
52541,,https://princetonmanagement.com/communities/woodbridge-manor-apartments/,,unknown,7,7,residual_unconverted
52854,Parkside,https://parksideaptsliving.com/,rentmanager,rentmanager,0,0,direct_or_archived_lane_exhausted_no_strict_win
53567,Trafalgar Square Apartments,https://princetonmanagement.com/communities/trafalgar-square-apartments/,generic,unknown,3,3,residual_unconverted
53932,Misty Hollow,http://www.landmarkrealty.org/misty-hollow/,generic,unknown,3,2,residual_unconverted
56567,Park Forest Apartments,https://www.apartmentsstatecollege.com/park-forest-apartments,appfolio,appfolio,2,2,direct_or_archived_lane_exhausted_no_strict_win
56903,The Landmark,https://www.fxmessina.com/the-landmark?rq=The%20Landmark,squarespace_nopms,squarespace_nopms,5,5,residual_unconverted
58390,,https://live30lancaster.com/,,rentcafe,14,7,residual_unconverted
58546,Lake Park Estates,https://wright-weber.com/property/LakePark,rentcafe,rentcafe,1,1,residual_unconverted
61459,,http://www.thiestalle.com/properties/oakstreet-st-cloud.html,,knock,0,0,residual_unconverted
67154,Southern Pine Apartments,www.southernpineapts.com,onesite,onesite,0,0,residual_unconverted
67598,,http://www.loftsatlittlecreek.com/,,rentvision,0,0,strict99_false_positive_reintroduced
68497,Maya,http://www.liveatmaya.com/,knock,knock,0,0,residual_unconverted
68956,266 Lofts,https://www.266lofts.com/,g5,g5,0,0,residual_unconverted
69282,Vista Del Plaza,http://www.vistadelplaza.com/,appfolio,appfolio,0,0,direct_or_archived_lane_exhausted_no_strict_win
