"shard","property_id","proj_name","address","city","state","zip_code","website","verdict_reason","adapter","detected_pms","winning_tier","fetch_outcome","fetch_status","fetch_body_bytes"
35,"22962","Fox Lane","45600 Fox Ln W","Shelby Township","MI","48317","https://princetonmanagement.com/communities/fox-lane-apartments/","no records extracted","generic","unknown","TIER_1_API","OK",,127355
35,"52182","Woodside Village Apartments","21821 Woodruff Rd","Rockwood","MI","48173","http://www.woodsideapartments.net","no records extracted","generic_plan_text","generic_plan_text","TIER_1_DOM_GENERIC_PLAN_TEXT","OK",,127716
36,"240193","Sepulveda Manhattan Apartments","8031 Sepulveda Blvd","Panorama City","CA","91402","http://www.manhattansepulveda.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_NO_RESPONSE","OK",,154343
36,"258661",,,,,,"https://banyanonwashington.com/","no extract result",,,,,,
36,"34785",,,,,,"http://adaraportal.yottareal.com/pages/HomePage.aspx?Id=55","no extract result",,,,,,
37,"15358","Mountain View","13135 Heacock St","Moreno Valley","CA","92553","http://www.mountainviewapartmenthomes.com/","no records extracted","onesite","onesite","TIER_1_API_ONESITE_NO_RESPONSE","OK",,263868
39,"295542","Enclave Crystal Lake","111 E Crystal Lake Ave","Crystal Lake","IL","60014","https://www.liveenclavecrystallake.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_NO_RESPONSE","OK",,209730
39,"301417","Marlowe Live Oak","5476 Angel Way St","St. Cloud","FL","34771","https://www.marloweliveoak.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,149808
40,"230598","The Ridge","17940 Garden Ln","Hagerstown","MD","21740","https://www.theridgehagerstown.com/","no records extracted","repli360","repli360","TIER_1_API_REPLI360_NO_FLOORPLANS","OK",,298705
40,"24139",,,,,,"https://prometheusapartments.com/ca/santa-clara-apartments/boardwalk/","no extract result",,,,,,
40,"273828",,,,,,"https://www.pointegrandsouthlake.com/","no extract result",,,,,,
40,"32996","TGM Ridge","10901 Wild Ginger Cir","Manassas","VA","20109","https://tgmridge.com/","no records extracted","generic","generic_plan_text","TIER_1_API","OK",,204228
40,"46915","Barberton","605 Barberton Dr","Virginia Beach","VA","23451","https://www.barbertonapt.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_NO_RESPONSE","OK",,98422
42,"234385","Townhomes at Spring Valley","2149 B Elder St","Reading","PA","19604","http://www.mmgapts.com/spring-valley.htm","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_SHAPE_REJECTED","OK",,94464
42,"53932","Misty Hollow","2826 Misty Ln","Bossier City","LA","71111","http://www.landmarkrealty.org/misty-hollow/","no records extracted","generic","unknown","TIER_1_API","OK",,246726
42,"63191","Avenir on Fifteenth","42 S 15th St","Philadelphia","PA","19102","http://avenirphilly.com/","no records extracted","sightmap","sightmap","TIER_1_API_SIGHTMAP_SHAPE_REJECTED","OK",,272631
43,"16509",,,,,,"http://brooklawngardensapts.com/property/brooklawn/","no extract result",,,,,,
43,"39995",,,,,,"https://www.southpointehanahan.com/","no extract result",,,,,,
43,"78593","Estes Park","306 Estes Dr Ext","Carrboro","NC","27510","http://www.gscapts.com/apartments/Carrboro_NC/zip_27510/gsc/4510","no records extracted","encoreskyline_template","encoreskyline_template","ENCORESKYLINE_NO_PLAN_LINKS","OK",,129424
45,"12398",,,,,,"https://www.courtneyparkapthomes.com/","no extract result",,,,,,
