"shard","property_id","proj_name","address","city","state","zip_code","website","verdict_reason","adapter","detected_pms","winning_tier","fetch_outcome","fetch_status","fetch_body_bytes"
115,"74384",,,,,,"https://www.fountainparksouth.com/","no extract result",,,,,,
116,"252891",,,,,,"https://www.livebellrock.com/apartments/tx/katy/bellrock-market-station/","no extract result",,,,,,
116,"70993","Modera Mosaic","2920 District Ave","Fairfax","VA","22031","https://www.moderamosaic.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,172845
117,"46576",,,,,,"https://www.proresidential.com/oklahoma-properties/campus-pointe-","no extract result",,,,,,
118,"40398","Canyon Springs","6185 N Figarden Dr","Fresno","CA","93722","https://www.canyonspringsfresno.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,156035
120,"270672","Pointe Grand Warner Robins","1601 Leverette Rd","Warner Robins","GA","31088","https://www.pointegrandwarnerrobins.com/","no records extracted","funnel","funnel","TIER_1_API_FUNNEL_SHAPE_REJECTED","OK",,261253
120,"47909","Westerville Park Apartment Homes","4565 Northland Square Dr E","Columbus","OH","43231","https://www.capcityapartments.com/westerville-park","no records extracted","wix_floor_plans","wix_floor_plans","TIER_1_DOM_WIX_FLOOR_PLANS","OK",,552741
122,"240595","Stockbridge Trails","319 E Hill Pkwy","Madison","WI","53718","https://www.stockbridgetrailsapartments.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_NO_RESPONSE","OK",,84329
122,"251514","LC SoBro I","209 Elm St","Nashville","TN","37210","https://lifestylecommunities.com/community/lc-sobro","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_EMPTY","OK",,185584
122,"32097","Clemmons Trace Village","114 Willow Trace Cir","Clemmons","NC","27012","http://www.clemmonstracevillage.com/","no records extracted","resman","resman","TIER_1_API_RESMAN_NO_PORTAL","OK",,358967
124,"253966","Aventura at Maryland Oaks","2100 E Aventura Way","St Louis","MO","63146","https://www.avmarylandoaks.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_NO_RESPONSE","OK",,200142
125,"220907","Reserve At Bradbury Place","560 W New Hope Rd","Goldsboro","NC","27534","https://www.keystonemanagement.com/apartments/nc/reserve-at-bradbury-place","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_NO_RESPONSE","OK",,814700
125,"227354",,,,,,"https://www.sandstoneapartmenthomes.com/","no extract result",,,,,,
126,"46257","Advenir at Mayfield","3200 Bromley Pl","Midland","TX","79705","https://www.adveniratmayfield.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,135945
127,"219752","Lamphouse","203 E Main St","Waunakee","WI","53597","https://lamphouseapts.com/","no records extracted","generic","unknown","TIER_1_API","OK",,0
127,"223547","Redwood Delta Township II","8156 Roslyn Hill","Lansing","MI","48917","https://www.byredwood.com/apartments/mi/lansing/redwood-delta-township/index.aspx","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_NO_RESPONSE","OK",,277606
128,"36158","Allen Meadows","5562 Bear Rd","Syracuse","NY","13212","https://allenmeadows.prospectportal.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,143869
131,"58390",,,,,,"https://live30lancaster.com/","no extract result",,,,,,
132,"224720","Optima Old Orchard Woods","9739 Woods Dr","Skokie","IL","60077","http://www.optimaoldorchardwoods.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_SHAPE_REJECTED","OK",,274399
132,"241538","Block 88","1304 NE 88th St","Vancouver","WA","98665","http://www.block88apts.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_SHAPE_REJECTED","OK",,198517
132,"56903","The Landmark","550 Washington St","Braintree","MA","02184","https://www.fxmessina.com/the-landmark?rq=The%20Landmark","no records extracted","squarespace_nopms","squarespace_nopms","SYNDICATION_ONLY_SQUARESPACE","OK",,140945
133,"11543","Westwind Apartments","4300 Old Benbrook Rd","Fort Worth","TX","76116","http://www.leasewestwindapartments.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,140006
133,"27125","Tudor Place","5801 Peabody St","Hyattsville","MD","20783","https://www.tudorplaceapts.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_NO_RESPONSE","OK",,94596
134,"74872","Heather Ridge","454 Heather Dr N","Mantua","NJ","08051","http://heatherridgeapts.net/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,140418
135,"19877","Advenir at Magnolia","210 Welcome Way","Fern Park","FL","32730","http://www.adveniratmagnolia.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,136883
136,"239094","Zander Place","1300 Main St","Cross Plains","WI","53528","http://www.zanderplace.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_NO_RESPONSE","OK",,56787
136,"48092","Edgewater Village","5500 Weslo Willow Dr","Greensboro","NC","27409","https://www.edgewatervillageapts.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,149143
137,"11089","Village Green of Bear Creek","1800 Fuller Wiser Rd","Euless","TX","76039","http://www.villagegreenofbearcreekapts.com/home/","no records extracted","resman","resman","TIER_1_API_RESMAN_NO_PORTAL","OK",,78405
137,"44955",,,,,,"https://www.kjaxproperty.com/fulton-woods","no extract result",,,,,,
138,"37071","Summerwood on Towne Line","2520 Summer Dr","Indianapolis","IN","46268","www.summerwoodindy.com","no records extracted","generic","unknown","TIER_1_API","OK",,159432
138,"60303",,,,,,"http://ironworksindy.com/","no extract result",,,,,,
139,"293741",,,,,,"https://www.hudsonbishopscreek.com/","no extract result",,,,,,
139,"6477","Harbour Pointe","4501 71st St W","Bradenton","FL","34210","http://www.gscapts.com/apartments/Bradenton_FL/zip_34210/gsc/15388","no records extracted","encoreskyline_template","encoreskyline_template","ENCORESKYLINE_NO_PLAN_LINKS","OK",,142842
142,"251974",,,,,,"https://www.domainatfoundersparc.com/","no extract result",,,,,,
142,"52854","Parkside","1408 Brookview Dr","Toledo","OH","43615","https://parksideaptsliving.com/","no records extracted","rentmanager","rentmanager","TIER_1_API_RENTMANAGER","OK",,183512
143,"28174","Pinewoods Circle","34200 Pinewoods Cir","Romulus","MI","48174","http://www.pinewoodsvillage.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_NO_RESPONSE","OK",,86685
144,"262964","The Bellagio","1384 Empire Blvd","Rochester","NY","14609","https://www.bellagio1384.com/","no records extracted","wix_floor_plans","wix_floor_plans","TIER_1_DOM_WIX_FLOOR_PLANS","OK",,556043
144,"38378","Park Northside","1601 Roane St","Richmond","VA","23222","https://www.parknorthsiderva.com/","no records extracted","rentmanager","rentmanager","TIER_1_API_RENTMANAGER","OK",,819496
144,"64673","River's Edge Apartments","1701 Island Home Ave","Knoxville","TN","37920","http://riversedgeknox.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_SHAPE_REJECTED","OK",,186513
145,"40309","1750 on First","1750 First St","Simi Valley","CA","93065","https://www.1750-onfirstapartments.com/","no records extracted","onsite_apply","onsite_apply","TIER_1_API_ONSITE_APPLY_NO_DATA","OK",,120567
145,"63558","Pearl Dadeland","7440 N Kendall Dr","Kendall","FL","33156","http://pearldadeland.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,149810
147,"267117","Azure Carnes Crossroads","900 Conway Circle","Summerville","SC","29486","https://www.azurecarnescrossroads.com/","no records extracted","onesite","onesite","TIER_1_API_ONESITE_NO_RESPONSE","OK",,188141
148,"22934","Westwood Village Galleria","1441 Veteran Ave","Los Angeles","CA","90024","https://westwoodvillagegalleria.bhprop.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_NO_RESPONSE","OK",,100063
148,"57195","Tribeca","720 W 3rd Ave","Columbus","OH","43212","https://tribecacolumbus.com/","no records extracted","squarespace_nopms","squarespace_nopms","SYNDICATION_ONLY_SQUARESPACE","OK",,470244
149,"39198","Vista De Palmas Apartments","1415 W Freddy Gonzalez Dr","Edinburg","TX","78539","http://www.vistadepalmasapartments.com/","no records extracted","generic","unknown","TIER_1_API","OK",,2164358
149,"72391","Lumina","301 Washington St","Conshohocken","PA","19428","https://liveatlumina.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_SHAPE_REJECTED","OK",,410384
149,"7980","Tesota Morningside","3958 Montgomery Blvd NE","Albuquerque","NM","87109","https://www.tesotamorningside.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,140439
150,"238508","Centennial","506 W Centennial Blvd","Springfield","OR","97477","https://www.liveatcentennialapartments.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_SHAPE_REJECTED","OK",,190017
150,"298586","Gateway Lofts Lexington","380 Virginia Ave","Lexington","KY","40504","https://gatewayloftslexington.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_SHAPE_REJECTED","OK",,619400
150,"52949","Woodlands at Nashua","3 Sapling Cir","Nashua","NH","03062","https://www.livewoodlandsatnashua.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,149019
150,"594","Harbinwood","1295 Harbins Rd NW","Norcross","GA","30093","www.harbinwoodbyelon.com","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_NO_RESPONSE","OK",,52799
151,"1617",,,,,,"https://www.crossingatriverlake.com","no extract result",,,,,,
151,"22658","Country Ridge Townhomes","6710 Shady Pine Ln","Saginaw","MI","48603","https://www.countryridge.com","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_NO_RESPONSE","OK",,87463
151,"258789","Luxe 88","1025 Luxe Ave","Columbus","OH","43220","https://luxe88apts.com/","no records extracted","encoreskyline_template","encoreskyline_template","ENCORESKYLINE_NO_PLAN_LINKS","OK",,682774
151,"261580",,,,,,"https://www.1515parkplace.com/","no extract result",,,,,,
151,"54936","Brentwood Square","13433 Greenwood Ave N","Seattle","WA","98133","https://brentwoodsquareapts.prospectportal.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,132193
152,"47845","Casa De Caro","5240 E Bellevue St","Tucson","AZ","85712","https://www.equilibriumprops.com/casa-de-caro-apartments","no records extracted","appfolio","appfolio","TIER_1_API_APPFOLIO_EMPTY","OK",,227487
152,"59649",,,,,,"https://801polaris.com/","no extract result",,,,,,
153,"120193","Parks Residential - Richardson","2220 N Glenville Dr","Richardson","TX","75082","https://www.parksrichardson.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_SHAPE_REJECTED","OK",,291180
153,"225914","Fox Glen","6301 Fox Glen Dr","Saginaw","MI","48638","www.foxglen-apts.com","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_SHAPE_REJECTED","OK",,64428
153,"38677","Tor View Village","1 Kensington Cir","Garnerville","NY","10923","www.torviewvillageapts.com","no records extracted","onesite","onesite","TIER_1_API_ONESITE_NO_RESPONSE","OK",,119686
154,"3912","Stratford Village","2000 London Town Ln","Montgomery","AL","36117","https://www.stratfordvillageapartments.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_NO_RESPONSE","OK",,134879
155,"231543","Autumn Hills","400 Hoover Way","Woodbridge","NJ","07095","https://bestrentnj.com/Communities/Autumn-Hills/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_SHAPE_REJECTED","OK",,224516
155,"246351","Chatsworth Village Townhomes","17 Chatsworth Ave","Buffalo","NY","14217","https://www.glendalecommunities.com/property/chatsworth-townhouses/","no records extracted","rentmanager","rentmanager","TIER_1_API_RENTMANAGER","OK",,316079
155,"281767","YO","3201 Morgan Ford Rd","St. Louis","MO","63116","https://www.yo-stl.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_SHAPE_REJECTED","OK",,122507
156,"17586","Natick Park","4701 Natick Ave","Sherman Oaks","CA","91403","https://www.natickpark.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_NO_RESPONSE","OK",,132900
156,"48946",,,,,,"https://www.wimmercommunities.com/apartments/wi/greenfield/westfield-apartments/?utm_knock=gmb","no extract result",,,,,,
156,"72732",,,,,,"http://www.centralmngt.com/Search?Community=15","no extract result",,,,,,
157,"262174","Star Deluxe Branford","375 E Main St","Branford","CT","06405","https://metrostarapartments.com/star-deluxe-branford/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_SHAPE_REJECTED","OK",,79916
157,"3169","Avana Court","3800 Club Dr","Duluth","GA","30096","https://www.avanacourt.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,152456
157,"42085","Revive Apartments","2341 58th Ave E","Fife","WA","98424","https://www.reviveapartments.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_EMPTY","OK",,188355
157,"54798","The Point at Abington","12 Forsyth Dr","Abington","MA","02351","https://www.thepointatabington.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,142870
158,"46179",,,,,,"https://www.hayloftapartmenthomes.com/east-hampton-estates","no extract result",,,,,,
159,"35192","Enclave on Golden Triangle","5001 Golden Triangle Boulevard","Fort Worth","TX","76244","http://www.enclaveongoldentriangle.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,172862
162,"12989",,,,,,"https://www.thegrandatwestchase.com/","no extract result",,,,,,
163,"38797","Peppertree Village Apartments","153 Peppertree Dr","Buffalo","NY","14228","www.peppertreevillageapartments.com","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_SHAPE_REJECTED","OK",,167856
163,"43995","Hamilton Hall","449 Hamilton St","Norristown","PA","19401","http://www.scullycompany.com/hamilton-hall-18.html","no records extracted","sightmap","sightmap","TIER_1_API_SIGHTMAP_SHAPE_REJECTED","OK",,222125
163,"45755","The Landings","2248 Hudson Landings Dr","Gastonia","NC","28054","https://www.pedcorliving.com/apartments/the-landings","no records extracted","generic","generic_plan_text","GENERIC_VALIDITY_REJECTED","OK",,151909
164,"4554",,,,,,"https://www.parkatcanyonridge.com/","no extract result",,,,,,
165,"43908","ReNew Johnson Creek","12435 SE Linwood Ave","Milwaukie","OR","97222","https://www.renewjohnsoncreek.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,141691
167,"35590","Stonepost Ranch","12801 W 136th St","Overland Park","KS","66221","https://www.stonepostranchapts.com","no records extracted","rentcafe","knock","TIER_1_API_RENTCAFE_SHAPE_REJECTED","OK",,344392
169,"18764","Americana Palos Verdes","4050 Palos Verdes St","Las Vegas","NV","89119","https://www.americana-apts.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,143245
169,"269346","Ashford Apartment Homes","1200 Rockmont Cir SW","Conyers","GA","30094","https://rjamesproperties.com/ashford-brook/","no records extracted","generic","unknown","TIER_1_API","OK",,147714
172,"260505","Onyx Uptown PHX","500 W Camelback Rd","Phoenix","AZ","85013","https://broadstoneuptownphx.com/","no records extracted","generic","unknown","TIER_1_API","OK",,24695
173,"263498","The Julington","12397 San Jose Blvd","Jacksonville","FL","32223","https://risejulington.com/","no records extracted","generic","unknown","TIER_1_API","OK",,24301
173,"9128","Kingswood","3400 Joyce Ln","Denton","TX","76207","https://www.kingswoodenton.com/","no records extracted","resman","resman","TIER_1_API_RESMAN_NO_PORTAL","OK",,191088
174,"253646","Tapestry Westland Village","6505 Collins Rd","Jacksonville","FL","32244","https://www.alapts.com/apartments/fl/jacksonville/tapestry-westland-village/","no records extracted","onesite","onesite","TIER_1_API_ONESITE_NO_RESPONSE","OK",,173745
174,"27725","The Gardens of Pinecrest","8800 SW 68th Ct","Miami","FL","33156","https://www.gardensofpinecrestapartments.com/?rcstdid=MzI%3d-GJOvflXLv8M%3d&_yTrackUser=ODc4MjE0MDU4IzE4OTE0MjUzNDM%3d-q3%2b9PtfoQ%2bo%3d&_yTrackVisit=MTU4OTQ5NDE0MyMxODI1ODI1MTU3-j1vbMVdjJw8%3d&_yTrackReqDT=22311420200708","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_NO_RESPONSE","OK",,55725
175,"38107",,,,,,"https://www.livefountainplaceapts.com/","no extract result",,,,,,
175,"42554",,,,,,"http://summerwindaptsfl.com/","no extract result",,,,,,
175,"42571",,,,,,"https://westwoodvillageapthomes.com/en/","no extract result",,,,,,
176,"246468","Colonial Manor","22479 Colonial Manor Rd","Watertown","NY","13601","https://www.rentwatertown.com/colonial-manor","no records extracted","rentmanager","rentmanager","TIER_1_API_RENTMANAGER","OK",,343120
177,"275898","Bradley Pointe","1355 Bradley Blvd","Savannah","GA","31419","https://www.liveatbradleypointe.com/","no records extracted","encoreskyline_template","encoreskyline_template","ENCORESKYLINE_NO_PLAN_LINKS","OK",,73346
177,"293923",,,,,,"https://www.woodsatcountrysidecrossing.com/","no extract result",,,,,,
177,"56762","Seventh West","1427 7th St","Santa Monica","CA","90401","https://www.seventhwestapartments.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_NO_RESPONSE","OK",,187863
178,"4330",,,,,,"https://www.invitationalapartments.com/","no extract result",,,,,,
181,"251908",,,,,,"https://www.posthouseevv.com/","no extract result",,,,,,
181,"77794",,,,,,"https://www.palmbeachgardensapartments.com/","no extract result",,,,,,
182,"20959","Dove Valley Apartment Homes","7550 S Blackhawk St","Englewood","CO","80112","https://www.dovevalleyapts.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,147593
182,"235473",,,,,,"http://www.rooftop252.com/","no extract result",,,,,,
183,"234772","The Pointe at Harpers Mill","600 Harpers Mill Rd","Glen Burnie","MD","21108","http://www.liveattp.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,147979
183,"32978","Camden Vineyards","24323 Jackson Ave","Murrieta","CA","92562","https://www.camdenliving.com/apartments/murrieta-ca/camden-vineyards","no records extracted","camden","camden","TIER_1_DOM_CAMDEN","OK",,147458
184,"253326","The Point at Reston","1925 Roland Clarke Pl","Reston","VA","20191","https://www.thepointatreston.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,145009
184,"34708","Camden Main & Jamboree","2801 Main St","Irvine","CA","92614","https://www.camdenliving.com/apartments/irvine-ca/camden-main-and-jamboree","no records extracted","camden","camden","TIER_1_DOM_CAMDEN","OK",,147450
184,"5735","Aventura Apartments","5300 Cinderlane Pkwy","Orlando","FL","32808","https://aventuraorlandoapartments.prospectportal.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,141231
187,"69378","Redwood Akron","1738 Northampton Rd","Akron","OH","44313","https://www.byredwood.com/apartments/oh/akron/redwood-akron/index.aspx","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_NO_RESPONSE","OK",,153228
188,"4124",,,,,,"https://tramor.com/property/tramor-cannon-place/","no extract result",,,,,,
188,"44339","Pronghorn Apartments","1700 W 25th St","Casper","WY","82604","https://www.pronghorncasper.com/?utm_source=GMB&utm_medium=organic","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,143200
188,"72743",,,,,,"https://brandywinecommunities.com/properties/della-plaza/","no extract result",,,,,,
190,"226383","The Colony Apartments","1041 Dabney St","Corpus Christi","TX","78411","http://availability.sparkleam.com/properties/?rmwebsvc_command=PropertyDetail&rmwebsvc_id=4&rmwebsvc_template=Properties","no records extracted","rentmanager","rentmanager","TIER_1_API_RENTMANAGER","OK",,18474
190,"2948","Crystal Woods of Alexandria","4905 Southland Ave","Alexandria","VA","22312","www.crystalwoodsapts.com","no records extracted","encoreskyline_template","encoreskyline_template","ENCORESKYLINE_NO_PLAN_LINKS","OK",,124769
190,"67684",,,,,,"http://twolightkc.com/","no extract result",,,,,,
191,"48075",,,,,,"https://www.edgefieldaptsva.com/","no extract result",,,,,,
192,"22382","4418 Spruce Street","4418 Spruce St","Philadelphia","PA","19104","https://www.livecampusapts.com/property/4418-spruce-street/?search-parameters=1&start_date=0&end_date=9999999999&price_min=0&price_max=10000","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_SHAPE_REJECTED","OK",,106478
194,"228073","Alister Montclair","11 Pine St","Montclair","NJ","07042","https://www.alistermontclair.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,170968
195,"225886","Casa Baywood","212 S El Camino Real","San Mateo","CA","94401","https://www.casabaywoodapts.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_SHAPE_REJECTED","OK",,134384
196,"14295","Timber Ridge Apartment Homes","1025 Adams Cir","Boulder","CO","80303","www.myboulderapartment.com","no records extracted","onesite","onesite","TIER_1_API_ONESITE_NO_RESPONSE","OK",,170110
197,"24337","Colonial House","1560 San Tomas Aquino Rd","San Jose","CA","95130","https://residential.eprodesse.com/colonial-house-apartments/index.aspx","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_NO_RESPONSE","OK",,108619
198,"72631","Linden Lane","2505 E Main Ave","Puyallup","WA","98372","http://www.lindenlaneapartmenthomes.com/","no records extracted","generic_plan_text","generic_plan_text","TIER_1_DOM_GENERIC_PLAN_TEXT","OK",,98764
198,"8119","St. Andrews of Palm Aire","1000 SW 46th Ave","Pompano Beach","FL","33069","https://www.scullycompany.com/apartments/florida/broward-county/pompano-beach/st-andrews-palm-aire/","no records extracted","sightmap","sightmap","TIER_1_API_SIGHTMAP_SHAPE_REJECTED","OK",,217411
199,"55165","Legacy Oaks","675 White Oak Cir","Independence","OR","97351","http://legacyoaksapts.com/","no records extracted","rentmanager","rentmanager","TIER_1_API_RENTMANAGER","OK",,180682
200,"17674","Hollywood Terrace","6550 Yucca St","Los Angeles","CA","90028","http://hpgmanagement.com/property/6550yucca/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_SHAPE_REJECTED","OK",,30588
201,"294493","Ashland","657 Ashland Ave","St Paul","MN","55104","https://krcapartments.com/property-detail/?propid=587&propname=Ashland%20Apartments","no records extracted","rentmanager","rentmanager","TIER_1_API_RENTMANAGER","OK",,233472
201,"47444","Iroquois Green","100 Lawson Ln","Louisville","KY","40214","https://www.sunresidential.com/iroquois-green-apartments0/default","no records extracted","rentmanager","rentmanager","TIER_1_API_RENTMANAGER","OK",,229086
201,"67383","The Standard at Leander Station","1680 Hero Way","Leander","TX","78641","http://www.lifeatthestandard.com/","no records extracted","onesite","onesite","TIER_1_API_ONESITE_NO_RESPONSE","OK",,113675
203,"29566",,,,,,"https://heatherwoodfl.com/","no extract result",,,,,,
204,"16172",,,,,,"http://www.townecrest.com/","no extract result",,,,,,
205,"47182",,,,,,"https://livebh.com/apartments/the-crossings-at-bramblewood/?utm_source=realpage&utm_medium=referral&utm_campaign=cta","no extract result",,,,,,
205,"47750",,,,,,"https://www.theridgeatchestnuthillapts.com/","no extract result",,,,,,
205,"72542",,,,,,"http://www.rentandresidehere.net/","no extract result",,,,,,
206,"254122",,,,,,"https://www.pedcorliving.com/apartments/avril-cambridge-village","no extract result",,,,,,
207,"15693","Yorba Linda Pines","18700 Yorba Linda Blvd","Yorba Linda","CA","92886","http://www.yorbalindapines.com/","no records extracted","appfolio","appfolio","TIER_1_API_APPFOLIO_EMPTY","OK",,164189
208,"220109","Melrose Station Apartments","902 Valley Rd","Elkins Park","PA","19027","https://www.fmgnj.com/apartments/pa/elkins-park/melrose-station/floor-plans","no records extracted","g5","g5","TIER_1_API_G5_API_ERROR","OK",,226113
209,"67154","Southern Pine Apartments","2520 Allie Nicole Cir","Virginia Beach","VA","23456","www.southernpineapts.com","no records extracted","onesite","onesite","TIER_1_API_ONESITE_NO_RESPONSE","OK",,203681
211,"8740",,,,,,"https://livebh.com/apartments/parc-plaza-apartments/","no extract result",,,,,,
214,"223864","Kendall Square","209 Old Graves Mill Rd","Lynchburg","VA","24502","http://www.stewartlangleyproperties.com/kendall-square/","no records extracted","rentmanager","rentmanager","TIER_1_API_RENTMANAGER","OK",,691993
215,"20262","Kings Mill","8917 N Davis Hwy","Pensacola","FL","32514","https://www.pedcorliving.com/apartments/kings-mill-apartment-homes","no records extracted","generic","generic_plan_text","GENERIC_VALIDITY_REJECTED","OK",,151265
216,"2198","Lincoln Green","4000 Presidential Blvd","Philadelphia","PA","19131","www.lincolngreenapartments.com","no records extracted","rentmanager","rentmanager","TIER_1_API_RENTMANAGER_NO_ENDPOINT","OK",,173261
217,"239274","Strata on California","6312 California Ave SW","Seattle","WA","98136","http://www.strataoncalifornia.com","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,136334
217,"4756","Clear Run","5300 New Centre Dr","Wilmington","NC","28403","https://www.clearrunaptswilmington.com/","no records extracted","knock","knock","TIER_1_KNOCK_API","OK",,691680
218,"234581","Georgetown Crossing","100 Georgetown Rd","Mechanicsburg","PA","17050","https://www.triplecrowncorp.com/company/locations/georgetown-crossing/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_NO_RESPONSE","OK",,127638
220,"242976","Kelly Farms","1280 Cinnamon Hill Ln","Columbia","MO","65201","http://www.kellyfarms.com/?fbclid=IwAR3Ht2UTDJGEhVJqHMlcBmpL_RXbUH4u9mVSJ-Z1gopj5mzcXzrLI4u3ilk","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,158842
220,"281149",,,,,,"http://irondaleatwharton.com/","no extract result",,,,,,
220,"50172",,,,,,"https://www.countrysideest.com","no extract result",,,,,,
221,"276162","Modera Academical Village I","3440 SW 76 Ter","Davie","FL","33328","https://www.moderaacademicalvillage.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,171285
222,"244756","Town Commons","1600 Town Commons Dr","Howell","MI","48855","https://harvest-properties.com/project/town-commons-apartments/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_SHAPE_REJECTED","OK",,456038
222,"254556","Park Place","305 W Jack Finney Blvd","Greenville","TX","75402","https://www.parkplacegreenville.com/","no records extracted","wix_nopms","wix_nopms","SYNDICATION_ONLY_WIX","OK",,572938
222,"74519","The Jamestown","127 Yeardley Dr","Newport News","VA","23601","https://www.thejamestownapartments.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_SHAPE_REJECTED","OK",,72612
223,"20672","Quiet Waters Landing","1293 Thom Ct","Annapolis","MD","21403","https://www.quietwaterslanding.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,142277
224,"245993","Alberta Square","450 Alberta Dr","Buffalo","NY","14226","https://www.glendalecommunities.com/property/alberta-square/","no records extracted","rentmanager","rentmanager","TIER_1_API_RENTMANAGER","OK",,328872
224,"260564","Union @ Roosevelt II","888 N 1st Ave","Phoenix","AZ","85003","https://www.unionatroosevelt.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_SHAPE_REJECTED","OK",,256569
224,"38314","Coppermill","2217 Edenborn Ave","Metairie","LA","70001","https://www.coppermillaptsbytonti.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_SHAPE_REJECTED","OK",,137402
225,"58546","Lake Park Estates","1265 Pershing Rd","De Pere","WI","54115","https://wright-weber.com/property/LakePark","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_SHAPE_REJECTED","OK",,118547
225,"9473",,,,,,"https://www.thevillagedallas.com/properties/the-village-cliffs/","no extract result",,,,,,
